"Feature","Data_Type","Category","Sub_Category","TCGA-23-1023","TCGA-23-1026","TCGA-23-1027","TCGA-23-1029","TCGA-23-1109","TCGA-23-1111","TCGA-23-1114","TCGA-23-1120","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2077","TCGA-23-2078","TCGA-23-2081","TCGA-23-2084","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2409","TCGA-3P-A9WA","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"LET_7G_5P","num","Molecular","ssGSEA",-2606.164287,-2679.404837,-2990.889134,528.671226,-2641.614059,-1255.25797,1307.18748,-874.125477,-598.192326,-563.670813,-1106.350044,-2067.288256,394.132805,-331.900255,-1137.627358,-389.542251,-761.777951,-1825.934124,-286.391666,47.151194,-925.120907,948.267555,-1093.407779,621.850436,-1048.416654,1369.078937,56.868304,-1035.898461,755.143825,-960.52291,925.205398,782.437222,-1209.255837,1304.913313,370.975935,-931.670669,-478.710635,-1466.783169,-413.794184,-1167.38967,-6.841862,-297.35753,1320.477013,-1147.00605,-598.222562,-821.221031,-1728.589595,-2278.743758,-643.383434,-808.923369,-743.566304,-868.149923,-1815.487735,-1640.279244,-593.178421,-914.75776,-828.802027,-325.845383,643.759038,337.986131,897.686401,762.422356,-638.302397,-775.378406
"MIR98_5P","num","Molecular","ssGSEA",-2606.03891,-2623.70912,-2946.08605,468.68118,-2575.10599,-1310.84583,1328.81325,-904.12832,-547.88062,-540.75067,-1102.13036,-2011.22123,381.60239,-342.05547,-1199.04129,-368.05413,-757.90769,-1882.17322,-241.13345,25.42077,-915.65045,968.77378,-1115.92958,647.52091,-961.00213,1373.35761,65.16154,-976.8914,750.41766,-1002.06542,918.61059,755.43184,-1254.32427,1328.15033,384.26919,-875.78875,-557.00951,-1499.44372,-420.82099,-1113.50307,43.09667,-244.69097,1356.79068,-1223.294,-572.86452,-802.06777,-1671.61767,-2304.86743,-689.6593,-787.61153,-786.11737,-842.90028,-1844.7347,-1557.26916,-596.24743,-869.43836,-788.61641,-331.89854,680.2074,365.04823,912.54659,757.71353,-641.48454,-772.16532
"MIR6868_3P","num","Molecular","ssGSEA",-2295.90918,-2515.66547,-3741.94297,1008.9635,-2503.32384,-1659.56108,914.25625,-984.956,-704.40437,-2952.43659,-1307.02957,-2051.51987,-261.79116,-153.62245,-278.64837,-1271.52986,589.30601,-1666.37004,-1132.79648,433.65546,271.11156,-97.36955,-439.4726,1502.82743,-497.36555,205.39477,-1743.13369,-1373.07236,138.72544,1212.64138,-148.77403,261.55113,-802.60833,1634.40643,387.05428,-1171.12342,-672.85622,-951.07882,-1754.6477,52.92033,-219.0485,-1044.48728,1754.3968,-1211.50028,-1417.25422,-959.80502,-1431.41944,-2953.84578,967.51236,-567.53992,-1414.36593,784.53795,-1014.33957,-1197.47328,-1174.85325,-1048.93763,365.53257,-450.14368,174.82476,-1737.82562,1133.54298,578.57672,-582.8852,-833.08496
"MIR4441","num","Molecular","ssGSEA",-126.601732,-1554.594998,-1715.573965,-466.677458,-746.400817,-1498.903349,-462.672517,-1684.070816,-719.697397,-1622.752923,-981.162096,-1097.132527,648.003555,-1020.898855,-855.844036,-810.798443,-1156.502766,-1763.032125,-2405.678545,926.318123,51.09511,-5.341959,-1903.448674,404.990842,-307.485066,97.576186,-34.794698,-975.662601,448.992147,297.09998,-346.046782,160.402307,148.118204,1650.705274,-445.73412,-1273.105884,-205.423432,-1392.471091,-285.328828,413.792553,-1429.199503,-80.735766,1685.901468,-2398.457152,-872.667938,-1550.314723,-2707.601769,-2513.204855,-1136.351071,-642.289346,-1060.626672,4.479426,-1549.885621,-1204.620325,-1920.444986,-1486.207023,841.029582,-360.581713,-368.686448,-1002.542452,20.110465,410.02184,-1416.212939,-2762.638683
"MIR208B_5P","num","Molecular","ssGSEA",-3924.691342,-3564.996487,-4661.151731,129.373965,-2874.672501,-199.03872,505.640024,-1104.807412,-1082.046089,-2404.848227,214.377232,-1918.854115,-948.3978,308.928148,-1262.010502,-884.961105,55.921739,-1355.0519,-453.97481,1012.517444,-228.986855,1075.50497,-650.271919,1247.244924,-652.175526,-257.218175,-886.171957,-1022.029322,211.210689,-103.53931,662.294971,140.577778,-1237.093466,955.779946,232.401782,-1026.510461,519.601039,-1753.157747,-2050.067421,71.969973,-330.286777,-678.359595,519.72778,-1599.806619,-531.737183,-1349.106436,-1327.692189,-1239.350367,-919.391569,-1062.424887,-1517.953223,-936.380692,-1646.728625,-2516.775084,-1255.777714,-918.313177,-160.649418,-754.728407,6.588562,-706.940385,320.487885,679.50661,-64.941107,45.878295
"MIR8067","num","Molecular","ssGSEA",-2771.170106,-3337.352757,-3956.863764,-252.940968,-2756.276884,118.739752,505.760849,-721.954434,-1318.724595,-2954.85349,-344.937969,-2434.338412,-256.535279,702.774721,-1114.646596,-766.883053,-695.056151,-1861.105922,-652.450968,1084.756415,-473.082106,688.690714,-558.860136,954.464998,-909.836124,330.743094,164.319793,-494.340735,-301.921005,-16.813103,291.757329,-190.325217,-357.096169,1356.513196,693.883541,-1727.685845,743.690942,-1536.66943,-1452.208561,531.818672,-1160.024741,-682.470228,1257.143226,-222.341014,-1999.519122,-300.587158,-1300.018483,-2100.642919,-884.936699,-380.112083,-2018.346019,148.348419,-2328.487433,-1563.725279,-104.433963,-1412.585488,-608.229834,-653.413259,-2.625981,-1067.824272,1103.813692,1176.776647,-178.101062,-140.67127
"MIR5003_3P","num","Molecular","ssGSEA",-4083.253356,-3196.078306,-4680.66236,640.27266,-2794.408819,-863.2894,1940.40493,-1293.271363,171.297021,-2454.968488,-508.850696,-1992.547642,-145.503052,3.382362,-1214.153735,-944.406136,-487.777642,-1682.421786,113.270521,1544.619456,688.7157,124.043064,-295.366828,1178.532048,-208.163992,122.542955,-747.158785,-173.53871,-630.717884,-84.437207,-34.645271,-787.66872,-1390.325729,408.70684,221.437985,-1185.317427,-319.416659,-376.906458,-658.143554,-280.995019,-32.340813,208.417655,618.083255,-552.649826,-1954.550277,-1604.189763,-442.105962,-2894.559654,-947.797493,-1183.348956,-2659.98111,-510.151302,-2249.208639,-848.672659,-177.635324,-505.049843,-551.081723,-480.438503,415.967147,54.209607,2325.755133,1767.834087,759.148233,142.21384
"MIR1275","num","Molecular","ssGSEA",87.5648,-933.33344,-2392.45762,-383.30194,-1011.34576,-868.82727,835.59901,-1823.85165,-626.27778,-3232.67355,-666.83251,-1625.57908,589.74181,-382.8998,-434.83649,-554.88992,-1251.80792,257.41846,-1639.35767,-473.78223,142.3335,1102.5692,-1152.16923,1143.1841,-330.75588,389.78839,-65.05981,-746.12254,-111.24631,182.16487,737.08587,79.14302,924.36716,1134.80503,-553.40547,-2271.55825,245.12696,163.70537,-553.16404,204.13574,-1028.58902,-22.31039,2175.90471,-2171.79342,-906.44437,-922.94783,-2523.21814,-1789.86522,-392.55599,-1883.70365,-1653.32903,208.90562,188.55722,-3333.92486,-2197.50271,-738.36033,700.89804,-894.10793,277.18637,-2455.35838,-536.19333,-139.01869,-306.34889,-1959.45692
"MIR5196_5P","num","Molecular","ssGSEA",138.3202014,-2101.7341651,-1765.7261652,582.9689486,-1243.2260595,-952.8270215,-360.6261516,-867.8528272,683.4130536,-1256.4278666,-1497.645559,-1437.7441436,-828.5776365,-24.0861813,505.7546165,-11.430295,-419.7043387,-1275.5321926,-1371.6787883,-301.2251137,294.236807,94.5552681,-177.7783005,473.1637283,843.3383074,1657.2506583,-887.055925,64.3630223,93.928572,-86.3224986,-0.9055293,285.5604244,255.5002157,1241.3546523,1156.6646668,-1619.3415905,52.4272888,-120.8022763,-520.3904807,42.823491,-372.9677598,-174.5766765,488.5359434,-980.3601903,-234.7540157,-1192.8946071,-1896.3369759,-2799.2966623,-753.4028859,301.1000434,-448.1406057,290.4650924,-1134.4811965,-988.6299979,-1463.970449,399.4107306,928.5010204,735.3627888,391.8106278,-1953.8262465,544.090217,358.7311582,-25.6420834,-1859.4910997
"MIR208A_5P","num","Molecular","ssGSEA",-3859.103,-3577.73426,-4663.38263,172.23386,-2914.91253,-260.05481,500.63545,-1151.00975,-1131.22803,-2414.9165,184.03177,-1794.7917,-1033.74178,347.20244,-1250.69369,-864.41348,54.62118,-1280.48131,-474.54549,990.72443,-283.8099,1080.75156,-649.06986,1172.04665,-755.40631,-313.24127,-931.69368,-1004.27184,301.67043,-246.45157,572.89692,182.44554,-1209.88477,902.0191,340.69786,-1046.45902,544.12949,-1800.93367,-1996.76587,78.02612,-380.2148,-686.93924,477.48833,-1601.05138,-386.84057,-1385.48383,-1360.23979,-1213.80406,-987.49203,-998.42903,-1372.44441,-988.29579,-1660.37044,-2547.1822,-1196.43453,-915.17957,-198.80402,-861.19982,-26.07197,-760.12435,294.29153,610.19887,-15.48692,20.77143
"MIR3180_5P","num","Molecular","ssGSEA",-2439.79733,-2667.84596,-2976.2668,516.01486,-2617.27168,-855.01209,920.47168,-1311.96142,-440.80652,-2030.24106,-837.26322,-965.59333,146.37503,734.66979,-924.72957,-1771.14461,-267.99329,-1699.75668,-779.24625,243.81164,576.02616,571.6343,-718.28152,1038.27987,-897.81262,183.39917,-648.4728,-248.57089,111.72484,380.89187,921.2168,907.79216,-36.10272,1498.96446,290.66474,-172.29289,412.46841,-725.90674,-999.05005,524.40662,-375.7523,-838.00377,1632.91574,-1215.02881,-1188.84803,-69.58281,-726.75621,-1623.05988,-503.22625,-439.77717,-724.96471,121.57579,-1341.78297,-950.23057,-671.53224,-874.29814,172.07893,-513.51112,-64.14306,-328.48093,1063.7222,892.32349,241.22326,-314.36857
"MIR892C_5P","num","Molecular","ssGSEA",-2914.3337,-2353.72856,-4039.45189,347.95197,-2937.35272,-680.20681,1066.54294,124.73418,-494.01956,-2410.23076,-1287.16171,-1527.62268,-561.09578,773.99429,-770.96088,-1916.43434,-105.08861,-1160.92371,-323.82078,1932.97869,-122.38987,-264.75066,-395.3945,547.76901,158.9175,313.1061,-771.35112,-193.70729,1027.68815,125.07584,-304.14316,-396.55824,-896.65981,544.03702,909.58626,-951.37224,493.88502,50.77538,-323.35961,-318.02098,125.33971,-569.32581,572.48172,-1109.37546,-442.2819,-411.14035,-219.69033,-1789.96188,-411.92659,-24.83233,-1579.10178,389.32366,-1696.92375,-557.57654,411.49188,-327.65268,-529.58884,-219.02725,-340.69538,146.87364,1119.9864,1052.65663,884.8349,143.24157
"MIR586","num","Molecular","ssGSEA",-3848.00646,-2961.33258,-4104.93671,281.57623,-3517.94893,-331.80702,300.28361,-844.54712,-579.10032,-2094.47054,-840.09589,-1098.72778,-1056.43116,231.93597,-984.40978,-1031.56492,839.67749,-1281.57837,-1312.76993,-110.50566,-618.78316,1063.77018,-529.21799,708.31215,567.64267,587.27429,-1291.07985,-1272.67007,130.68618,99.00588,323.10471,121.64033,-671.38458,998.62248,81.16005,-112.38036,-300.32744,-1221.65457,-1250.34642,-341.30211,-493.1121,-1706.72093,541.18386,-1848.27911,-1093.77303,-1429.41118,-465.72082,-1864.55983,-1382.46087,-2487.4192,-1721.62679,-595.65369,-879.7235,-896.13759,-521.28777,-1131.32135,-446.66608,-674.92513,151.26547,-1179.54872,496.69866,581.98055,-233.26885,-701.14731
"MIR513B_5P","num","Molecular","ssGSEA",-3507.723351,-2954.001101,-4872.581419,60.675748,-3327.659885,-865.665029,1786.226198,-774.203479,1.846109,-1934.407995,-607.008186,-2438.970617,689.93014,749.559515,-1428.472301,-771.445317,437.067281,-1428.765861,15.631703,1929.867643,442.882571,751.728323,-102.937782,1111.973529,-1057.030792,1601.655958,-546.666074,-713.703868,388.484125,-103.485786,833.601289,-229.931869,-1398.058685,1346.404535,811.253799,-430.021218,604.503946,-936.764296,-390.17718,-275.660109,169.599511,-135.209073,1406.007754,-1592.037174,-894.430405,-555.869697,-1620.464176,-3347.353618,-624.45982,-798.602303,-1697.360602,-237.529766,-1933.612676,-1372.302418,-606.316318,-338.880341,546.309287,-800.36011,520.353465,187.515968,1316.637308,1940.796974,630.655995,1007.104498
"MIR4644","num","Molecular","ssGSEA",-1483.27405,-2034.3371,-3163.98143,-246.65311,-1273.91324,-878.84496,128.61825,-1223.99347,-553.31653,-1632.2053,-516.20203,-2567.97524,390.37041,-1651.70068,-1121.07491,-1277.2611,-1263.96611,-1506.63601,-567.07543,931.79659,214.75275,270.86433,-776.76588,646.97762,-1030.86941,-26.19899,-885.19463,440.46611,-342.77824,-377.34067,187.36109,-742.2267,-656.18162,878.20755,399.32439,-1335.51223,-537.34463,-586.70908,-205.55284,618.1653,-720.9492,162.40674,156.17566,-863.99063,-560.45827,-514.39147,-1222.10582,-2756.19759,-1425.1562,26.01382,-920.78136,-909.03477,-1095.39847,-1685.08935,-1190.10179,-1116.1357,-86.90699,-355.4698,-178.60909,-1080.82249,575.09447,1140.1696,292.00274,-1515.57723
"MIR548O_3P","num","Molecular","ssGSEA",-4360.105,-3241.45476,-4736.20609,608.25643,-3200.9588,-307.53693,1955.10776,-1327.15261,-471.24567,-2770.20235,-394.50391,-1723.09325,-767.3694,22.95764,-215.49883,-802.59947,-110.60832,-1815.51662,-85.11627,525.4916,-325.25223,828.62636,-1205.80232,1130.68313,441.02028,1373.65988,-1101.36411,406.22216,488.21882,-92.91813,653.39797,-15.44993,-1403.5333,677.49909,1036.83379,-1234.94213,-625.35718,-1283.20478,-1087.27949,-1059.79715,-86.56924,-564.72243,751.25965,-1662.33191,-1549.22045,-734.8584,-1485.5666,-2445.49493,-900.25404,-2077.31246,-2770.82405,500.71575,-1961.68897,-1000.3472,-356.23202,-441.08976,-447.31713,-893.39352,685.75258,1250.11254,2564.78728,2330.35013,476.4679,789.16731
