"Feature","Data_Type","Category","Sub_Category","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1623","TCGA-25-1625","TCGA-25-1635","TCGA-25-1878","TCGA-23-1809","TCGA-25-2391","TCGA-25-2409","TCGA-25-2042","TCGA-25-2393","TCGA-23-2077","TCGA-25-2396","TCGA-23-2078","TCGA-25-2397","TCGA-23-2079","TCGA-25-2399","TCGA-23-2081","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-42-2591","TCGA-23-2645","TCGA-42-2593","TCGA-23-2647","TCGA-23-1111","TCGA-23-2649","TCGA-25-1316","TCGA-25-1322","TCGA-42-2582","TCGA-42-2588","TCGA-42-2589","TCGA-23-2641","TCGA-42-2590","TCGA-23-2643","TCGA-25-1320","TCGA-23-1121","TCGA-25-1313","TCGA-23-1122","TCGA-25-1315","TCGA-23-1123","TCGA-25-1319","TCGA-25-2408","TCGA-25-1321","TCGA-25-1323","TCGA-25-1326","TCGA-25-1328","TCGA-25-1312","TCGA-25-1329","TCGA-25-1314","TCGA-23-1109","TCGA-25-1318","TCGA-23-1110","TCGA-42-2587","TCGA-57-1586","TCGA-5X-AA5U","TCGA-WR-A838","TCGA-59-A5PD","TCGA-OY-A56Q","TCGA-OY-A56P","TCGA-3P-A9WA"
"PRKAA1|AMPK_pT172","num","Molecular","Protein Expression","2.0508198","3.1208546","1.4522830","2.4352954","2.0287536","2.0918119","2.1823024","2.9294390","2.7444868","3.3271078","2.0561063","1.3277365","1.7707054","2.7988462","1.9232702","2.9013354","2.0167862","0.9042664","2.4382968","2.2292079","2.6039764","1.4234531","2.2692468","2.8099631","2.2352994","2.6574615","3.0700201","1.9366067","1.3586940","1.7111447","2.0350520","2.6892261","2.6496616","2.0116474","3.0657007","2.5128525","2.4946548","2.9950558","2.0149760","2.7956326","1.8724856","2.7960394","2.0708790","1.7137911","2.1374783","2.6765495","1.9328863","2.0651380","2.5477567","2.2066241","2.4824853","2.4629143","2.7234697","2.2066066","2.9183463","1.8542325","2.3149151","2.3804727","2.9858259","2.5348361","2.7874118","2.6700027","3.1586255","2.2472943"
"AR|AR","num","Molecular","Protein Expression","-0.378843045"," 0.068480597"," 0.283699332","-0.025368113","-0.596209933","-0.535986213"," 0.083413741"," 0.242619965","-0.190283001","-0.219362195"," 0.909198121","-0.669952313","-0.586852384","-0.008711605"," 1.580866984"," 0.670380725","-0.297764360"," 1.761911606"," 0.098150572"," 0.418787522","-0.527908602"," 1.161850570","-0.619339634"," 0.382856362"," 0.829347813","-0.341791459"," 0.530809860"," 0.285260678"," 0.435291291"," 0.682847862","-0.933673654"," 0.520777493","-0.470127631","-0.664373444","-0.569537037"," 1.226694926","-0.606904151"," 1.336635701"," 0.280493561","-0.639510371"," 0.444812994","-0.236177564"," 0.485896960","-0.445989068"," 0.545557526"," 0.398171929"," 1.628469719"," 0.805626525","-0.411982292"," 0.971208886","-0.190059751","-0.624777812"," 1.171171292"," 0.247426956"," 0.648512025"," 1.048227287","-0.125352003"," 0.915706372","-0.416429983"," 1.568324247","-1.307320377"," 0.452789269"," 0.571170885","-0.987767193"
"ASNS|ASNS","num","Molecular","Protein Expression","-0.94181553","-0.84029329","-0.20830691","-0.74158934","-1.32106943"," 0.22337042","-0.45089483"," 0.09383570","-0.67931409","-0.08607269","-0.78468152","-0.68991984","-1.17255128","-0.27329927","-0.48041107","-0.67093526","-1.02270108","-0.05364635","-0.37613577","-0.64490914","-1.21953151","-0.08722905"," 0.03740559","-0.37991886","-0.66336410","-0.13018396","-0.69084024","-0.15959849","-1.25011881","-0.40643228","-0.82222254","-1.14472404","-0.73330443","-1.11524519","-0.75973915","-0.94170454"," 0.62137410","-0.38476588","-0.66585373","-0.34348803","-1.29654005","-1.17079195","-0.30083599","-0.60264958","-1.17691205","-1.26546337","-0.51784976","-0.91289811","-0.72663587","-1.35209657"," 0.32540167","-0.90441333","-0.30225122","-0.58789459","-0.80864711","-0.78077281","-0.43672679","-0.01190240","-0.52735760"," 0.28173600"," 1.01678029","-0.53969548"," 0.13262445","-1.34648303"
"ATM|ATM","num","Molecular","Protein Expression","1.8773969","1.9371324","0.7159581","2.3047002","2.1566037","1.4298990","3.1884029","3.0391931","2.9424551","2.8173816","2.4254605","2.5637381","1.7130322","1.6775314","2.4613332","2.4519261","2.5404146","1.8575165","2.9488180","2.2960776","2.1193178","1.7336258","2.1711295","2.6184454","1.0166773","3.1255497","1.7781799","2.4781023","2.5279888","2.1554137","2.9903033","2.6043259","2.1044864","2.0507316","2.4507390","3.1498530","2.3447152","2.1659926","1.9162615","1.6367358","2.5966446","2.7356690","2.2687030","2.4162598","2.3340927","2.7017003","2.9950341","2.5421835","2.1510198","3.0805086","3.4039028","2.1693950","2.3516291","3.0362103","2.2842041","2.0044009","3.0783128","2.2804501","2.6865581","2.8835231","2.5387401","2.6906350","3.9426601","3.6141764"
"BAK1|Bak","num","Molecular","Protein Expression","0.6282840","0.7256071","1.4542676","0.5917182","0.7477450","0.7099570","0.7388216","0.7013353","0.7624513","0.5025653","0.5736833","0.5913282","0.9488994","0.7455440","0.4710670","0.5091502","0.9136666","0.5032776","0.4677002","0.4885819","0.5627998","0.4384383","0.6537936","0.5872104","0.8214113","0.6437822","0.6086193","0.4346102","0.4095615","0.5718946","0.5387903","0.5168172","0.5759930","0.7090363","0.9283675","0.4707902","0.9692591","0.6523546","0.7420095","0.6119047","0.5900046","0.9737407","0.4894042","0.4310566","0.7631192","0.8463734","0.4919338","0.7849138","0.7950761","0.5124738","0.3795105","0.5581735","0.3688503","0.4565635","0.5892752","0.7546178","0.7731626","0.8871114","1.5227918","1.1819633","1.5131518","1.3457615","1.0466850","1.1057310"
"BAX|Bax","num","Molecular","Protein Expression","1.0379838","0.8409488","2.0548977","0.7513462","0.5653939","1.5409817","0.9417356","1.1549810","1.2808166","1.3468682","1.1355159","0.9240017","1.2623921","1.2212234","0.7917202","1.0254376","1.0689277","1.5507592","0.6243304","0.7889678","0.7288760","0.6595039","1.2511853","0.9471557","0.7287517","0.8182925","0.6831999","0.8534163","1.0747442","0.8105502","1.1483942","0.7855998","0.9104097","1.1881415","1.2881197","0.6407887","1.1550743","0.5756321","1.1656345","0.8278252","1.1722152","1.3523458","0.9099420","1.1734759","0.8588961","1.5781920","0.4860878","0.7869086","1.0271886","1.1786588","0.4317789","1.4233005","0.5927374","0.5100930","0.4849627","0.7711010","1.1520097","0.7902266","0.8604861","1.3400065","1.1082722","0.7768827","1.0756247","0.7476894"
"BCL2|Bcl-2","num","Molecular","Protein Expression","-1.3442752","-1.3911987","-0.9098901","-1.4066651","-1.5947151","-1.0629445","-1.0098584","-1.1482876","-0.4605302","-1.6482476","-1.2534657","-1.5136979","-1.0008433","-1.2400291","-0.9861985","-1.0809492"," 0.4563811","-1.4745688","-1.2436482","-1.5126667","-1.6489728","-1.3071796","-1.4171803","-1.3170872","-1.2551994","-1.3159906","-1.2971138","-1.2790914","-1.2918419","-1.1889387","-1.3281055","-0.4890759","-1.1674902","-1.0385353","-0.7510981","-1.5268705","-1.2950521","-1.0730652","-1.3755914","-0.5622690","-1.4095528","-1.1338548","-1.7002764","-0.8644925","-1.2879242","-1.0629013","-1.2979955","-1.3313927","-1.4951706","-1.1512384","-1.3822922","-1.4310770","-1.3550077","-1.2892757","-1.3483031","-1.5938124","-1.5200346","-0.8118714","-0.4899900","-1.5882502","-1.0084353","-0.5585744","-0.9571820","-1.2201375"
"BCL2L1|Bcl-xL","num","Molecular","Protein Expression","-0.44163502","-0.18624354","-0.15025132","-0.25898578","-0.18432109","-0.52088039","-0.32944950","-0.42509310","-0.35432263","-0.40165562","-0.39849508"," 0.08661639","-0.43343706","-0.24199331","-0.52976434","-0.24666681","-0.27852651"," 0.05732943","-0.46088959","-0.37134023","-0.24069755","-0.38452087","-0.35913603","-0.25236305","-0.18852411","-0.29090075","-0.53157536","-0.54212245","-0.05786594","-0.27385739","-0.52497549","-0.39632103","-0.46886699","-0.26215190","-0.17865873","-0.04407904","-0.19089399","-0.14215724","-0.49320920","-0.48025819","-0.55014928","-0.30114709","-0.28452430","-0.30047139","-0.41384095","-0.12424574","-0.19925763","-0.19075150","-0.40267236","-0.31899743","-0.43987196","-0.13547610","-0.54966865"," 0.18384374","-0.02090857","-0.07483492","-0.41189221","-0.38435744","-0.05956041","-0.25131911"," 0.25272965","-0.05079603","-0.07116968","-0.24285477"
"BECN1|Beclin","num","Molecular","Protein Expression","-0.9271214","-0.4173981","-0.8723763","-0.6896851","-0.8700065","-0.5938128","-0.8285082","-0.7898822","-0.8086966","-0.8255554","-0.8031686","-0.7706654","-0.7764847","-0.7807223","-0.7620107","-0.7019996","-1.0297917","-0.6321973","-0.7582502","-0.8167668","-0.8826317","-0.7236498","-0.7006134","-0.5655693","-0.7786839","-0.9191121","-0.6676034","-0.9586365","-0.7747671","-0.6380746","-0.8059422","-0.7135273","-0.9401036","-1.0675243","-0.9586429","-0.7821950","-0.6536184","-0.4696866","-0.6802365","-0.8802252","-0.7134337","-0.4721456","-0.8426605","-0.8694884","-0.3626440","-0.7707412","-0.6647721","-0.4044074","-0.7023272","-0.4768118","-0.8947359","-0.6899349","-0.8761520","-0.9560745","-0.6121383","-0.7035912","-0.5669682","-0.7021219","-0.6692726","-0.9645364","-0.4135795","-0.6973001","-0.7722524","-0.7184554"
"CTNNB1|beta-Catenin","num","Molecular","Protein Expression"," 2.1769030"," 2.3351601","-0.2164614"," 2.2260165"," 3.2924077"," 1.1118276"," 1.9627014"," 2.5852331"," 2.5418835"," 3.4849311"," 3.1768675"," 2.8724558"," 1.7252966"," 2.4469761"," 2.6047697"," 2.5580076"," 0.8450289"," 3.9396576"," 2.0513811"," 2.5764275"," 2.8933547"," 2.5069017"," 1.8590398"," 2.3560161"," 2.8435898"," 2.6311349"," 2.4359054"," 2.4849922"," 2.7349567"," 1.6357097"," 3.0371595"," 2.2630943"," 2.7675200"," 2.3356182"," 2.5083450"," 3.6987958"," 2.4305080"," 2.8903729"," 2.1176317"," 1.8485947"," 2.0543391"," 1.8109836"," 2.9364025"," 2.7331020"," 2.0701438"," 2.3895352"," 2.9307222"," 2.2461560"," 1.1473698"," 2.7117931"," 2.6825776"," 1.8660002"," 2.2866916"," 2.5248360"," 2.6435554"," 3.4133129"," 1.7626464"," 2.1186094"," 2.2748436"," 2.4224787"," 1.8278078"," 3.3500341"," 2.4499993"," 2.3096474"
