"Feature","Data_Type","Category","Sub_Category","TCGA-23-1023","TCGA-23-1026","TCGA-23-1027","TCGA-23-1029","TCGA-23-1109","TCGA-23-1111","TCGA-23-1114","TCGA-23-1120","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2077","TCGA-23-2078","TCGA-23-2081","TCGA-23-2084","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2409","TCGA-3P-A9WA","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"GLRA1_RSEM","num","Molecular","mRNA Expression RSEM",0.07415884,-0.23867117,-0.23867117,-0.23867117,0.12075217,0.04081264,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,0.44081481,-0.23867117,-0.04620724,-0.23867117,-0.23867117,0.20617326,-0.23867117,0.03198123,-0.23867117,0.11709779,-0.23867117,-0.23867117,0.21249229,-0.23867117,-0.23867117,-0.0470447,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.03204653,-0.23867117,-0.23867117,0.0307631,-0.23867117,-0.23867117,-0.23867117,0.02391114,-0.23867117,-0.23867117,-0.23867117,-0.23867117,0.30986625,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,-0.23867117,0.16810682,-0.23867117,0.05405976
"GLRA2_RSEM","num","Molecular","mRNA Expression RSEM",2.0056536,4.5930899,-0.0159594,7.1502178,0.4486062,-0.0159594,2.8783992,0.6564355,-0.0159594,-0.0159594,5.9102283,7.9269211,2.911463,0.4082605,1.476535,0.4574625,1.1417644,0.5590155,1.418575,145.143805,145.8129526,2.283153,0.3684069,0.319008,2.6081817,-0.0159594,7.3685764,6.6722693,-0.0159594,-0.0159594,-0.0159594,1.8881591,1.4197558,-0.0159594,0.3142846,-0.0159594,0.677494,61.1940225,6.529485,0.3378032,1.3651416,3.189356,-0.0159594,0.8316932,2.421706,0.8009911,-0.0159594,-0.0159594,0.3234362,0.416428,-0.0159594,2.0384221,-0.0159594,0.6930418,-0.0159594,0.3565984,0.50263,0.8511772,0.3854308,1.7732232,12.5715927,0.2469762,-0.0159594,0.3624042
"GLRA3_RSEM","num","Molecular","mRNA Expression RSEM",0.038836134,-0.263706759,-0.263706759,-0.019993696,0.083897281,0.00658649,-0.263706759,0.994029356,-0.010937289,0.914656945,0.401386926,-0.263706759,6.964483992,0.371051645,-0.263706759,-0.263706759,3.778690395,-0.263706759,-0.263706759,-0.001954511,0.038541617,-0.263706759,0.599155291,-0.263706759,2.136093803,-0.263706759,-0.263706759,5.111381162,0.015642897,0.565580319,-0.263706759,-0.263706759,-0.048856391,0.014170311,-0.016606747,-0.263706759,-0.263706759,1.432565611,-0.263706759,0.265614453,0.08073122,0.335856828,0.079258633,-0.263706759,-0.263706759,0.653199215,2.060329229,-0.263706759,1.767579036,0.059820492,0.489889374,-0.263706759,-0.263706759,-0.263706759,0.338065708,0.851482985,3.616632253,-0.263706759,0.336887638,0.405657427,-0.05437859,-0.263706759,3.907247195,0.302429115
"GLRA4_RSEM","num","Molecular","mRNA Expression RSEM",1.1127265,0.1596918,0.1596918,0.1596918,0.7071823,0.5854147,0.9176664,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.8372997,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.4827819,0.6431673,0.1596918,0.5996789,0.1596918,0.4822021,0.1596918,0.8364879,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,1.2448154,2.6780785,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.7855775,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.1596918,0.8189766,0.4695615,0.1596918,0.1596918
"GLRB_RSEM","num","Molecular","mRNA Expression RSEM",97.726976,74.281486,148.429169,149.731796,101.812766,118.341972,91.896849,207.595691,60.623025,143.492287,66.224955,67.850545,361.484218,238.914732,130.912904,66.125541,82.916857,15.179726,132.201797,273.441214,52.966684,68.183966,126.752527,145.361182,101.79058,28.896082,154.214397,187.01672,75.404091,182.109419,113.467422,110.445919,28.725462,155.152542,125.91052,67.398693,192.873788,78.752465,92.414413,264.752808,164.643864,143.442633,117.660549,133.224459,106.235887,100.046138,247.292535,232.13431,166.188423,203.830434,109.272181,96.735902,253.876454,2.593581,29.846587,27.658322,114.194273,107.116983,90.546363,217.750477,83.242672,195.373395,86.658133,92.665113
"GLRX2_RSEM","num","Molecular","mRNA Expression RSEM",120.75711,121.9701,216.69985,80.53296,80.87528,124.72045,117.12781,105.94363,111.55051,135.91589,95.63926,199.53168,108.84855,101.86681,159.16198,97.28195,178.35736,117.02088,235.14895,226.79506,96.76735,100.86595,139.95423,91.66714,84.57859,122.27517,116.33092,67.84297,50.47455,66.44806,89.03808,89.80169,117.60306,82.90868,124.82936,126.8937,114.92066,38.25387,104.90329,119.02062,92.2987,38.19917,80.93902,137.40474,150.46404,160.52583,179.92913,341.57872,80.04781,134.00378,157.94788,97.99098,106.0367,110.8025,104.4257,136.60524,85.35408,76.033,58.79292,264.25761,75.8752,99.76175,25.39408,120.14474
"GLRX_RSEM","num","Molecular","mRNA Expression RSEM",361.3186,355.62845,369.3392,127.4666,244.14099,127.87849,85.30112,443.18511,185.34574,419.87663,89.35271,323.25325,255.39524,172.62553,259.41398,160.42044,454.99716,204.12235,77.83772,117.1215,168.67329,186.90302,293.49037,237.53375,122.91884,213.42728,210.19859,82.94248,246.61734,156.49401,152.91198,506.24227,427.45755,536.75648,91.91769,490.45118,130.78163,91.07474,86.76043,436.33371,159.26117,57.37799,265.34432,251.34772,670.51622,160.67552,225.55098,172.48956,205.69947,119.47974,540.44669,302.86676,284.29164,49.80948,121.67521,79.28939,249.75869,137.3065,190.25974,69.46835,43.15906,39.5024,49.60225,80.89043
"GLRX3_RSEM","num","Molecular","mRNA Expression RSEM",1023.0364,1074.1869,784.9511,1010.8879,731.1711,771.598,787.5194,608.0837,1147.8324,813.6688,873.7996,1139.6867,1197.7485,1111.7054,1338.9186,1009.9348,1193.8127,1389.2561,1505.2215,1342.5825,1311.1156,997.2606,1113.8654,956.9152,1087.9423,1081.1664,1837.7316,1004.5119,1755.3763,721.0138,487.7036,1719.8024,1335.1828,865.0971,938.8085,1271.7939,1033.7996,1055.7857,1454.8481,957.4396,865.1055,1086.4121,738.0285,713.9278,1470.9886,2004.7649,979.5826,1561.5818,938.7534,879.2872,1242.3027,1575.0522,646.8534,543.6723,2122.3827,1547.1175,865.0181,1113.8774,596.9913,2297.6659,659.142,356.8788,650.5521,1124.3735
"GLRX5_RSEM","num","Molecular","mRNA Expression RSEM",1560.3693,1915.6824,2042.2596,3247.4131,1124.4293,732.3682,911.0393,1051.3338,1025.7307,931.4174,687.3657,1098.1397,1596.823,1652.5801,1122.7368,1326.1329,1710.0955,1615.3742,2050.0073,1320.1058,1514.1557,1155.044,1198.0513,582.2047,958.305,1437.5625,1468.3747,493.9147,1674.2812,974.2141,869.92,870.6957,1375.8442,688.3426,1291.6913,1993.1688,1267.4421,1361.0163,1382.567,1275.848,754.7839,896.8076,1086.0292,1855.4778,813.17,1675.9267,922.4953,890.5887,1377.9973,2389.4113,2698.4826,919.6012,1388.4812,980.6172,1735.2098,1926.0252,802.4398,1067.1113,1114.4062,1204.586,304.6347,262.4464,409.4422,942.7249
"GLS2_RSEM","num","Molecular","mRNA Expression RSEM",17.3089,24.09768,102.64701,67.18237,189.83403,210.23566,113.1244,24.77587,134.31652,107.76164,26.26416,26.50072,105.59809,75.44424,27.25149,45.74536,18.05741,39.23384,181.56235,245.75463,91.77545,90.7234,62.81135,52.40124,16.5446,128.10737,141.86341,472.27337,125.73787,254.59318,122.99274,61.46762,60.0775,41.43534,39.80327,63.07017,145.45984,247.0149,123.92936,37.35079,98.17085,461.8715,14.14166,65.31266,175.25513,145.32253,144.14759,55.03319,72.02033,427.44411,67.74003,25.91629,54.81517,145.3039,169.91885,355.74025,42.62225,99.79988,41.98309,93.59681,206.28421,217.45891,195.73914,361.21187
