"Feature","Data_Type","Category","Sub_Category","TCGA-25-2042","TCGA-23-1021","TCGA-23-1022","TCGA-23-1027","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1121","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1319","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1329","TCGA-25-2391","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1992","TCGA-57-1994"
"Microhomology2","num","Molecular","Microhomology",0,7,9,2,8,0,12,0,13,0,0,9,1,13,11,15,2,3,0,7,4,2,6,5,1,16,3,21,0,7,7,5,1,1,1,3,3,0,2,3,0,8,1,1,4,5,0,1,3,22,0,6,7,7,3,1,1
"Microhomology2ratio","num","Molecular","Microhomology",0,0.388889,0.333333,0.25,0.444444,0,0.461538,0,0.684211,0,0,0.225,0.033333,0.52,0.6875,0.245902,0.285714,0.272727,0,0.5,0.111111,0.333333,0.3,0.294118,0.166667,0.5,0.272727,0.7,0,0.25,0.5,0.384615,0.166667,1,0.125,0.176471,0.214286,0,0.285714,0.25,0,0.571429,0.333333,0.125,0.4,0.5,0,0.333333,0.5,0.733333,0,0.6,0.636364,0.5,0.6,0.037037,0.2
