"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000291","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000574","ACH-000617","ACH-000657","ACH-000663","ACH-000696","ACH-000704","ACH-000719","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001063","ACH-001151","ACH-001374","ACH-001630","ACH-002140","ACH-002149","ACH-002181"
"DINACICLIB (GDSC2:1180)_IC50","num","Drug Screen","GDSC2_IC50",NA,-5.744537,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.693183,NA,-3.305338,-2.805856,NA,NA,-5.708242,NA,-5.299913,-6.131063,-4.996459,-5.56358,NA,NA,NA,NA
"GEMCITABINE (GDSC2:1190)_IC50","num","Drug Screen","GDSC2_IC50",NA,-5.811033,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.472681,NA,-6.389145,NA,NA,NA,NA,-6.078483,NA,-6.985723,NA,-2.158656,-1.805692,-4.676362,-6.613996,NA
"BORTEZOMIB (GDSC2:1191)_IC50","num","Drug Screen","GDSC2_IC50",-7.158969,NA,-6.120159,-7.50913,-6.389975,-7.815834,NA,-5.790676,-7.322887,NA,-6.216625,-7.428917,-6.87882,-6.335564,NA,-7.250742,-5.777606,-8.736663,-7.09897,NA,-5.917867,-6.533857,-6.808921,-5.910612,NA,-6.549767,-7.114744
"YK 4-279 (GDSC2:1239)_IC50","num","Drug Screen","GDSC2_IC50",1.427592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8030954,NA,1.3012734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8175861,NA
"APO866 (GDSC2:1248)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,-6.62558,NA,NA,-6.786181,NA,NA,NA,-8.586688,NA,NA,NA,NA,-6.653078,NA,NA,NA,-7.867665,-8.664929,NA,-4.883204,NA,-6.225987,NA
"BMS-345541 (GDSC2:1249)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.247107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZ 960 (GDSC2:1250)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3228633,NA,NA,NA,NA,NA,NA,NA,NA,1.6839229,NA,0.2110822,NA,NA,NA,NA
"TALAZOPARIB (GDSC2:1259)_IC50","num","Drug Screen","GDSC2_IC50",NA,0.5585806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELLENCE (GDSC2:1511)_IC50","num","Drug Screen","GDSC2_IC50",NA,-3.5752275,NA,NA,NA,-1.2543367,NA,-0.1593754,-0.8587052,NA,NA,-4.0173738,-0.4324161,-1.3381027,NA,-0.4753883,NA,-1.4905734,-1.5044716,NA,-3.0283384,NA,-1.0333095,NA,-2.9665212,-2.2929277,NA
"PEVONEDISTAT (GDSC2:1529)_IC50","num","Drug Screen","GDSC2_IC50",NA,0.03602711,NA,NA,NA,-2.53476132,NA,NA,NA,NA,NA,NA,NA,-0.6525029,NA,NA,NA,-2.41122031,0.63380043,NA,-3.32208772,NA,1.86486567,2.09839775,NA,1.80082084,NA
"GSK-2141795 (GDSC2:1553)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6804938,NA,NA,NA,NA,NA,-0.4734507,NA,NA,NA,NA,-0.5532839,NA,NA,NA,NA
"LAPATINIB (GDSC2:1558)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.266011,NA,NA,NA,NA,NA,NA,NA,NA,3.196356,NA,3.040552,NA,NA,NA,NA
"AUY (GDSC2:1559)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.747321,NA,NA,NA,NA,NA,-5.673993,NA,NA,NA,NA,-6.636427,NA,-3.4448,-5.778328,NA
"TASELISIB (GDSC2:1561)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7287466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARAVA (GDSC2:1578)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,5.376502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
