"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994"
"ELMO2_GeneExp","num","Molecular","Gene Expression Microarray",-0.53641667,0.71516667,-0.59158333,0.23616667,-0.0905,-0.0775,-0.60025,-0.52491667,-0.07758333,-0.65391667,0.19783333,-0.32783333,0.80125,0.0075,0.37733333,0.51625,0.09775,-0.36433333,-0.90766667,-0.24933333,-0.45533333,-0.017,0.03725,0.67233333,0.32791667,-0.7995,-0.1105,-0.57008333,-0.51083333,-0.1395,-0.02683333,0.1365,-0.2665,-0.19683333,-0.083,-0.57341667,0.42575,0.21041667,0.57,-0.37075,-0.13091667,0.33416667,0.78608333,0.64158333,0.23083333,0.367,0.86791667,0.62741667,0.13233333,0.63133333,-0.04358333,1.33758333,0.49166667,-0.1475,0.02908333,0.34633333,-0.40541667,0.84933333,0.41433333,0.3455,0.71358333,-0.42258333,0.84416667,-0.55591667,-0.60875,0.264,-0.13433333,0.73566667,-0.03175,0.21425,0.18416667,0.38575,-0.07975,0.10216667,0.07558333,-0.16191667,-0.04591667,-0.92933333,-0.78391667,-0.12283333,0.05108333,-0.59841667,-0.1715,-0.67183333,0.7555,-0.05041667,0.07383333,0.44491667,0.14291667,0.44083333,0.15608333
"CREB3L1_GeneExp","num","Molecular","Gene Expression Microarray",0.409,-0.4835,0.27025,-0.17975,0.801,0.61125,-0.581,0.258,-0.3085,-0.65075,-0.178,-0.52375,-0.7125,-0.10575,0.418,0.11675,1.50425,1.419,-0.151,0.4715,0.05825,-0.71725,-0.178,-0.50725,0.404,0.2325,-0.00025,0.52875,-0.43275,0.41275,0.66825,-1.42275,-0.2735,-0.574,0.03875,-0.6835,-0.3005,0.0315,-0.125,-0.6195,-1.2425,0.24475,0.0905,-0.7505,0.59625,-0.2555,0.27325,0.59975,-0.11,0.433,0.6055,0.2235,0.635,0.72825,1.18625,-0.57425,0.4775,0.29875,0.01575,-0.162,0.21175,-0.467,-0.8865,-0.96225,-0.3585,1.75025,-0.1125,-0.4955,0.23125,-0.30625,-0.8695,0.432,-0.11875,0.98725,0.6835,0.92375,0.46375,0.13075,0.83575,0.9135,0.28175,0.08,-0.259,0.1455,-0.0025,-0.19825,1.232,-0.40775,0.0815,-0.09925,-0.9375
"RPS11_GeneExp","num","Molecular","Gene Expression Microarray",0.9225,1.31175,0.89025,0.7295,0.44675,1.1865,1.3885,1.31075,0.544,1.047,-0.2695,1.11625,0.709,1.843,1.616,0.064125,0.6355,0.29125,0.805375,0.74375,1.618625,0.735,0.671875,-0.162375,0.7485,0.84,0.344375,0.255875,0.23375,-0.0795,0.378375,1.117625,0.443125,0.72525,0.733625,0.404875,1.117625,0.96475,1.424375,0.5395,0.931375,1.110125,1.168375,-0.455125,1.7765,0.76575,0.509875,1.077875,0.547125,0.300875,1.040375,2.019,0.595375,0.746375,0.961875,0.57125,1.09975,1.32,0.245125,1.535375,-0.55525,1.241625,0.131,1.417625,0.298625,1.179875,0.769,-0.172125,1.777125,1.161125,1.0765,-0.098875,0.983125,1.149125,0.94275,1.908875,0.048875,0.315,1.1995,0.526875,-0.020125,0.46025,1.51875,1.241625,0.718,1.66175,1.549,0.7325,0.85975,0.37425,0.0995
"PNMA1_GeneExp","num","Molecular","Gene Expression Microarray",-0.36775,0.0685,1.01,-0.87575,-0.35425,0.45825,-0.062,1.645,1.165,-0.1915,1.92775,0.68375,1.46375,-0.91275,1.60475,0.963,0.419,0.508,0.633,0.25075,0.841,-0.3035,0.67975,1.4045,0.96325,0.568,0.15775,0.5915,0.1735,0.46725,-0.3495,1.1935,0.695,0.82425,1.37625,-0.1645,1.49975,0.78375,0.52425,2.01775,0.82125,1.75175,1.27275,1.72575,1.227,1.844,1.16,1.31625,0.6575,1.03775,0.32325,1.3855,0.58075,0.1515,0.86625,0.891,-0.07825,0.18425,0.79025,0.55125,0.6715,0.54075,2.2805,0.171,-0.0075,0.33725,0.24175,0.558,-0.5025,1.81325,-0.495,0.71675,0.752,1.4225,0.51425,1.66725,0.839,0.485,-0.45925,0.79625,0.694,-0.1655,-0.31475,-0.05,1.20275,0.897,0.92,1.3895,1.22175,0.472,2.00125
"MMP2_GeneExp","num","Molecular","Gene Expression Microarray",-0.7273333,-1.584,0.1271667,-1.8143333,0.2903333,0.5001667,-0.9911667,-1.0983333,-1.0923333,-1.3165,-2.0196667,-0.5906667,-2.0483333,-1.1335,-0.6546667,-0.302,1.3116667,0.7391667,-1.1316667,-0.7453333,-0.8991667,-1.7891667,-0.7668333,-1.7768333,-0.4025,-0.5436667,-0.992,0.2528333,-1.5241667,-0.3091667,-1.1995,-0.6225,-1.9,-1.4506667,-0.1375,-1.8083333,-1.7408333,-0.0935,-1.2398333,-1.3135,-0.6833333,-0.3661667,-0.5393333,-1.2191667,1.3848333,-1.9405,-0.2775,-0.4435,-0.7421667,0.5373333,0.3898333,0.235,1.0226667,-0.5603333,1.6956667,-1.6723333,-1.2381667,-1.1973333,-0.4071667,-0.833,0.7718333,-0.796,-2.133,-1.1955,-1.5978333,2.9185,-1.8745,-1.3531667,-1.1373333,-1.1565,-1.5688333,1.199,-1.8963333,0.6315,0.294,0.3125,-0.2923333,-0.1065,0.6441667,1.009,0.4025,-0.4576667,-1.0968333,-1.8953333,-0.375,-0.8365,1.6483333,-1.8308333,-1.4603333,-1.4716667,-1.9783333
"C10orf90_GeneExp","num","Molecular","Gene Expression Microarray",-2.332667,-2.435,-2.358,-2.10525,-2.47025,-2.552,-2.35825,-2.49875,-2.587,-2.2755,-2.48675,-2.4095,-2.77675,-2.40975,-2.10225,-3.15775,-2.9035,-2.27625,-2.621,-2.29475,-2.38525,-2.013,-2.07625,-2.148,-1.51525,-2.24375,-2.56025,-2.812,-1.98775,-2.214,-2.236667,-2.1025,-2.5525,-2.2155,-1.98625,-1.706,-2.667333,-1.767,-2.0015,-2.19675,-1.19,-1.83875,-2.0025,-2.3055,-2.2175,-1.9265,-2.16975,-2.455,-0.413,-1.955,-2.352,-2.33175,-2.92325,-2.5815,-2.40825,-1.911,-3.06175,-2.36225,-2.37375,-2.046667,-2.1335,-2.00475,-2.45275,-1.76225,-1.90925,-2.43375,-3.0595,-2.328,-2.51925,-2.33425,-2.913333,-3.013,-2.24625,-2.83,-2.56,-3.404,-2.38525,-3.299,-2.5715,-2.3515,-2.84375,-2.641667,-2.1075,-2.10275,-2.422,-2.75775,-1.9615,-2.62225,-2.401,-1.884,-2.6185
"ZHX3_GeneExp","num","Molecular","Gene Expression Microarray",-0.2225,-0.1095,-0.06966667,-0.69266667,-1.02833333,-1.20766667,-1.415,-1.10833333,-1.35416667,-0.49166667,-0.34433333,-1.68083333,-0.94566667,0.16966667,-0.59566667,-0.3795,-0.641,-0.36816667,-1.31583333,-0.7595,-0.74766667,-0.85583333,-1.21833333,-0.93183333,-0.95583333,-0.1215,-1.16183333,-0.27483333,-1.3905,-1.27066667,-0.94116667,-0.4735,-1.11883333,-0.94316667,-1.0215,-1.72983333,-0.4205,-0.5795,0.3245,-0.48533333,0.34483333,-0.17133333,-0.26416667,-1.226,-0.82683333,-0.46866667,-0.84366667,-0.18083333,-0.291,-0.5185,-1.00333333,-0.04,-0.78033333,-0.1875,-0.07216667,-0.0255,-1.03716667,0.07466667,-1.02816667,-0.70883333,-1.185,-0.67366667,-0.308,-0.45666667,-1.33283333,-0.04433333,-1.2145,-0.89683333,-1.70083333,-1.423,-0.73866667,-0.72933333,0.027,-0.85283333,-0.9295,-0.92216667,-0.55983333,-1.24966667,-0.8145,-0.9135,-1.31916667,-0.9825,-0.70483333,-1.54066667,-1.27933333,-0.91366667,-0.31183333,-1.18583333,-0.45283333,-0.95366667,-1.43933333
"ERCC5_GeneExp","num","Molecular","Gene Expression Microarray",-0.1885,1.091,-0.65625,0.3625,0.24525,-0.13575,0.9465,-0.063,0.28475,0.0575,0.25875,0.76625,-0.13525,0.29525,0.9825,0.343,-0.17975,0.3505,0.00325,-0.61875,0.45575,-0.58875,0.34325,0.42225,-0.16525,0.82275,-0.5,-0.037,0.2755,-0.2415,-0.29275,0.2735,-0.1545,0.0135,-0.14775,0.08575,0.29675,-0.2075,0.4445,-1.05475,0.6465,0.64175,0.401,-0.61125,0.52225,-0.67775,0.09175,0.24075,-0.411,-0.52725,0.73175,-0.37475,-0.5,0.98175,0.4335,-0.8015,0.394,-0.0955,0.3415,-0.60075,-0.37775,0.4905,0.07725,-1.05525,-0.497,0.37725,-0.20075,-1.3215,-0.99225,-0.321,0.13825,-0.286,-0.8755,-0.64075,-0.4235,0.05,-0.11325,-0.10825,-0.21375,0.047,-0.17075,-1.0845,0.484,-0.07725,-0.91275,0.12925,-0.04125,0.82975,-1.09575,0.46075,0.369
"GPR98_GeneExp","num","Molecular","Gene Expression Microarray",-1.917875,0.33175,-0.345125,-0.107125,-1.701,-1.7235,-1.61928571,-1.31175,-1.5515,-1.198,-0.380625,-0.760875,-0.08971429,-1.8495,-1.120125,-0.61925,-0.54057143,-2.81,-1.176625,-1.53225,-2.281625,0.310875,-0.70025,-1.616625,-1.2025,-1.644375,-1.366375,-1.5315,-1.1685,-1.348125,-1.323125,-1.434375,-1.108125,0.39675,-2.035,-1.688875,0.040375,-1.73457143,0.79925,-1.561125,-1.631125,-1.0405,-2.19175,-1.12,-1.236,-0.290625,-1.615375,-1.728125,0.0715,-1.6465,-1.18825,-0.778375,-0.84275,-2.66928571,-1.437625,0.581625,-2.1405,-1.87625,-0.42125,0.188,-2.0225,-2.44425,-0.60128571,-1.1705,-0.92075,-0.272875,-1.012375,-1.799125,0.41325,-1.28775,-2.28442857,-1.700625,-1.148625,-2.5505,-1.99725,0.6075,-2.09657143,-0.881625,0.41975,-1.36685714,-2.269375,-1.632875,-0.898125,-1.16428571,-1.22014286,-1.198,-1.991,0.136,0.231625,-1.522375,-0.357875
"RXFP3_GeneExp","num","Molecular","Gene Expression Microarray",0.6515,0.7585,0.3035,0.6745,0.284,0.3985,0.571,0.4925,0.4495,0.508,0.6305,0.4165,0.062,0.617,0.31,-0.001,0.404,1.2145,0.3935,0.6575,0.248,0.5945,0.19,0.351,-0.14,0.7785,0.101,0.524,1.325,0.416,0.0775,-0.164,0.6765,0.5035,0.101,0.7975,0.3895,0.268,0.0535,0.4055,0.3285,0.143,0.07,0.0235,-0.0135,0.4455,0.5205,0.0465,0.052,0.3115,0.1075,0.0215,0.626,1.216,0.152,0.0225,0.632,0.8985,1.0985,1.3085,0.1735,0.345,0.407,0.6275,0.6805,0.271,0.345,0.5745,0.9355,0.6565,-0.005,0.0805,0.7985,0.3005,0.809,0.7955,0.748,0.3895,0.113,0.634,0.4035,0.745,0.4555,0.6905,0.606,0.954,0.957,0.1235,0.908,0.6965,0.247
"APBB2_GeneExp","num","Molecular","Gene Expression Microarray",-0.681,0.00625,1.236,-0.243,0.0105,-0.0165,-0.2385,-0.92225,-0.7135,-0.135,-0.784,-0.78925,0.30225,-0.488,-0.70025,0.44275,0.62525,1.31125,0.23675,-0.58675,0.06375,0.7825,0.435,-0.29725,-1.34775,-0.3485,0.996,0.17725,0.71475,-0.17675,-0.037,-0.58325,-0.86275,0.773,0.20875,-1.0845,-0.21475,0.16325,-0.08,0.50525,1.561,-0.077,0.7855,-0.54225,0.172,-0.70775,-0.45175,0.861,-0.74675,0.26825,-0.006,-0.5155,1.18975,0.081,1.18175,0.32175,-0.1955,-0.969,0.20125,-0.13875,0.625,0.78825,1.4265,2.14,0.36175,1.09475,0.515,-0.309,0.168,0.0245,1.6975,1.23875,0.291,0.35175,0.0065,0.63475,0.1225,-0.7295,0.73525,0.297,-0.36675,-0.12475,-0.897,-0.2395,0.10375,0.0295,0.3665,-0.52425,0.31325,-0.26475,-0.13225
"PRO0478_GeneExp","num","Molecular","Gene Expression Microarray",-0.754875,-1.561,-0.81775,-0.84575,-1.334875,-1.177625,-1.525625,-0.111,-0.71625,-1.077875,-1.425375,-0.116,-0.722375,0.1945,-0.52825,0.20875,-0.809,0.31675,-0.482125,-0.57275,0.095625,-0.654,-0.82625,-0.828125,-0.558,-0.549625,-0.6235,0.07825,-0.516875,-0.375,-1.101375,-1.098375,0.03775,-0.82525,-0.929625,-0.76125,-0.674375,-0.49325,-0.923625,-0.577875,-1.2325,0.140375,-0.759375,-1.23275,-0.55625,-0.85975,-0.692875,-0.39175,-0.240625,-0.954625,-0.72725,-0.6165,-0.666875,-1.301,-0.412125,-2.189375,-1.19975,-1.31225,-1.050875,-0.976375,-1.356625,-0.52875,-0.511625,-0.88725,-1.2195,-1.28025,-1.041375,-0.76475,-1.481375,-1.204125,-0.906625,-0.64975,-1.12025,-1.291125,-0.8905,-0.99125,-0.59325,-0.682125,-0.863,-1.227125,-1.32025,-1.108875,-0.658875,-1.063375,-1.149625,-0.850875,-1.084375,-0.230125,-0.34825,-0.01475,-0.00825
"KLHL13_GeneExp","num","Molecular","Gene Expression Microarray",-3.495,-2.65075,3.69675,-3.1275,-3.40425,-4.042,-3.74275,-2.95225,-3.3705,-3.16475,-4.9665,-2.23575,-2.98475,-1.75875,-3.389,-3.0845,-1.49125,-2.51,-1.9185,-2.638,-2.7295,-0.122,-0.5255,-4.0335,-1.3635,-3.928,-2.97275,-0.33025,-1.34825,-2.20225,-3.948,-3.84525,-3.90625,-2.8235,-3.5365,-3.6475,-3.45775,-2.51275,-3.618,-2.491,3.06625,-2.104,-2.85325,-2.152,-1.97525,-2.7265,-2.5035,-1.6525,-2.12225,-2.8275,-2.384,-3.5195,-0.28475,-0.18925,-2.29075,-3.35125,-1.35425,-0.099,-1.56375,-3.2995,0.5135,-2.62525,-2.0515,0.8145,-3.5585,-2.3595,0.06725,-3.7235,-1.2615,-1.85225,-1.76575,-2.478,1.55375,-3.16575,-2.144,-1.99325,-2.62125,-2.89825,0.12925,-2.55925,-1.306,-2.27575,-0.65,-1.55225,-1.48925,-4.539,-2.9545,-0.99025,1.0195,-2.0165,-1.76575
"KLK10_GeneExp","num","Molecular","Gene Expression Microarray",3.172166667,0.192,-0.99,-0.471833333,0.7245,-0.765166667,-0.0905,-0.9675,-0.419666667,-0.510166667,-0.588,-1.4055,-1.203166667,-0.4045,0.0255,-1.343666667,-0.838,-0.291666667,-0.6795,0.166833333,-0.852833333,0.099666667,-0.678833333,-0.658,-0.132166667,-0.72,-0.557666667,-0.298333333,-0.255,0.161833333,0.663,-0.051333333,-0.839,-0.868333333,-0.3735,-0.4665,-0.707,-0.762333333,-0.637333333,-0.382166667,-0.770666667,-0.615166667,-0.681666667,-0.3875,-0.742833333,-0.6915,-0.8895,-0.652166667,-0.472833333,0.660166667,0.399833333,-0.690333333,-0.613166667,-0.3395,-0.380333333,-0.656666667,-0.539333333,0.301,0.726333333,-0.518833333,-0.931666667,-1.038666667,-0.305833333,0.2555,-0.559666667,-0.777833333,-1.105666667,0.434166667,-0.706333333,-0.4065,-0.712833333,-1.180333333,0.377333333,0.422,-0.475833333,-0.333833333,-0.573,-0.094,-0.029833333,0.364333333,0.389666667,1.456333333,-0.402166667,-0.783333333,0.005333333,-0.959,-0.1005,-0.968833333,-0.803333333,-0.715166667,-0.6865
"PDCL3_GeneExp","num","Molecular","Gene Expression Microarray",0.274,0.500833333,-0.2205,0.6835,0.561166667,0.167833333,0.258666667,0.650833333,0.645666667,0.388833333,0.737,0.1845,0.427333333,0.260666667,0.610166667,1.044,0.3855,-0.274666667,0.469833333,-0.196333333,0.201333333,1.130166667,0.7285,0.729166667,0.948166667,-0.133833333,0.495833333,0.0045,-0.230333333,0.332,0.295,0.391333333,0.456666667,-0.009166667,0.599666667,-0.1215,0.34,0.822333333,0.3365,0.687833333,0.077666667,0.965333333,0.519,0.675333333,0.342833333,1.0305,0.916666667,0.5235,0.546333333,0.06,0.064166667,-0.065166667,0.479833333,0.103666667,0.318833333,0.691333333,0.967666667,0.2855,-0.076666667,0.776666667,1.103,0.794666667,0.316333333,0.751333333,0.036333333,-0.139166667,-0.039166667,0.762666667,0.718333333,0.444,0.066666667,0.509,0.651333333,0.644333333,0.176333333,0.047333333,-0.051333333,0.291,-0.009333333,0.556,0.670333333,-0.1175,0.271,-0.295333333,1.303,0.514333333,0.170166667,0.9345,0.895166667,0.890333333,0.886333333
"DECR1_GeneExp","num","Molecular","Gene Expression Microarray",-0.699375,0.251375,0.513125,-0.847625,-0.647,-1.069125,-1.08375,0.110875,-0.56575,-1.01825,-0.9915,-0.3845,-1.5005,-0.764375,-0.2885,-0.40325,-0.762125,0.46675,-0.96825,-1.025,-0.22075,-1.1925,-0.745125,-0.36275,-0.972875,-0.568625,-1.960875,-0.754125,-1.332875,-0.558625,-0.835625,-0.99975,-0.9025,1.287875,-0.627,0.26725,-0.66175,-0.6335,-0.882,-1.213,0.18575,-0.52525,-1.195125,-0.858375,-0.19,-0.450875,-0.430125,0.00575,-1.431125,-1.19225,-0.965875,-0.409125,-0.606875,0.316125,-0.215875,-0.6905,-0.722,-0.4055,-1.537,-1.43875,-1.211875,-0.74825,-1.8975,0.46875,0.36675,-1.036625,-0.946,-0.6055,-1.14025,-0.33225,-0.04025,-0.392125,-0.202625,-0.2555,0.014375,-0.051625,0.069,-0.206125,-0.089875,0.347625,0.316,-0.164,-1.30425,0.087875,0.3215,-0.823875,-0.368375,-0.287375,0.292375,-0.689125,-0.21825
"SALL1_GeneExp","num","Molecular","Gene Expression Microarray",-4.7183333,-3.2606667,-1.4148333,-4.3793333,-5.1875,-4.1096667,-5.3985,-4.3566667,-5.4745,-3.4188333,-5.0018333,-3.3611667,-3.5095,-1.9696667,-4.1483333,0.2588333,-2.1081667,-4.216,-4.8326667,-3.693,-4.7268333,1.3715,-1.6655,-4.9688333,-2.4318333,-2.8788333,-2.2235,-2.9366667,-3.2226667,-3.7643333,-4.4648,-2.911,-4.2688333,-4.0965,-4.0225,-4.0788333,-3.5681667,-2.4546667,-4.1341667,1.5598333,2.0703333,-1.7305,-3.568,-2.8586667,-3.5523333,-3.4778333,-3.6311667,0.286,-0.2133333,-3.6253333,-1.4751667,-4.1876667,-3.6048333,-3.045,-0.9876667,0.006,-1.6256667,-1.9598333,-1.8921667,2.8073333,-3.3296667,0.138,-0.1643333,-3.0721667,-3.6453333,-3.8578333,-3.276,-3.821,0.5106667,-3.6866667,-4.143,-4.4553333,-3.5623333,-4.0036667,-4.3171667,-3.6088333,-3.1511667,-2.77475,-3.2496,-4.1324,-3.4601667,-3.0181667,-3.6656,-4.6251667,-4.343,-5.1546667,-3.812,-2.5005,-1.5916667,-3.0188333,-3.945
"CADM4_GeneExp","num","Molecular","Gene Expression Microarray",-0.2725,0.4745,1.12583333,1.02166667,0.28566667,0.19716667,0.82566667,0.3545,0.34616667,0.585,1.18616667,0.19916667,0.64916667,0.0655,0.468,1.21216667,0.4275,0.38833333,-0.09783333,0.05116667,0.23133333,1.43033333,0.47983333,0.13066667,0.7165,1.75983333,1.0005,1.13216667,-0.38283333,-0.35566667,0.08416667,0.94783333,0.608,0.0545,0.13466667,0.345,0.14216667,0.20166667,0.58433333,0.24016667,0.10733333,0.18633333,0.4045,-0.1835,1.0505,-0.372,-0.384,1.359,0.15483333,0.04533333,-0.21416667,0.01816667,-0.49083333,-0.04683333,0.827,-0.5865,1.19633333,0.74683333,1.52916667,0.81883333,-0.31716667,0.439,0.665,0.09266667,-0.35133333,-0.02916667,0.794,-0.5085,0.7065,-0.03683333,0.33216667,-0.513,-0.108,0.99683333,0.73,0.3795,0.02,-0.0904,0.1625,0.4695,0.357,-0.3735,1.15333333,-0.42116667,-0.19833333,-0.6315,0.75983333,0.02633333,1.0085,0.48183333,0.44733333
"RPS18_GeneExp","num","Molecular","Gene Expression Microarray",1.04285714,-0.31542857,0.58192857,1.52378571,1.17742857,1.24392857,0.94157143,1.15,1.58957143,1.65528571,0.62421429,1.17421429,0.69892857,1.39378571,0.65807143,0.16142857,0.5465,0.26921429,0.55028571,1.5165,0.46992857,-0.01357143,0.58914286,-0.58735714,0.16842857,0.72492857,1.34592857,-0.07242857,2.43021429,0.73064286,0.70321429,0.4035,0.566,0.50285714,0.84985714,1.29257143,1.39078571,1.18085714,2.256,0.52,0.67314286,1.054,0.50778571,0.10207143,0.17614286,0.83514286,-0.05764286,0.83621429,0.38707143,0.60935714,1.08785714,0.3495,0.87528571,1.05585714,0.16364286,0.31864286,0.64171429,1.4745,1.41157143,2.13592857,-0.3,1.33507143,0.48164286,3.31092857,2.21214286,0.01971429,1.04821429,0.98928571,2.44514286,0.43742857,1.24678571,0.31307143,2.12957143,1.811,1.21242857,1.98321429,1.04207143,0.86328571,1.40064286,-0.01607143,0.62228571,1.97585714,1.7235,2.01007143,0.73714286,1.30007143,0.85057143,1.28314286,0.78442857,0.522,0.48014286
"HNRPD_GeneExp","num","Molecular","Gene Expression Microarray",-1.5815,-0.65608333,-0.51866667,-0.56541667,-0.47258333,-0.62358333,-1.47966667,-1.249,-1.86758333,-0.96933333,0.01016667,0.30708333,0.12083333,-1.3335,-0.9295,0.13325,-0.72625,-0.75241667,-1.3065,-2.28441667,-1.011,-0.49358333,-0.75458333,-0.50908333,-0.77066667,-1.30616667,-1.027,-1.13941667,-1.74583333,-1.01008333,-1.41133333,-1.5905,-1.41391667,-1.43291667,-0.4625,-1.63958333,-0.70408333,-0.573,-1.21866667,-0.72416667,-0.09583333,-0.14291667,-1.02975,0.08241667,-0.15533333,-0.90566667,-0.429,-0.92858333,-0.67166667,-0.66675,-0.18358333,-0.41008333,-0.86083333,-0.89066667,-0.53425,-0.46908333,-1.70541667,-0.98233333,-0.35208333,-1.20733333,-0.3645,-0.54708333,-0.53116667,-1.89875,-1.93216667,-0.759,-0.923,-1.15166667,0.19875,0.08483333,-0.73333333,-0.26941667,-1.32266667,-0.29733333,-0.84833333,-1.03783333,-1.25583333,-1.61516667,-1.60875,-0.97675,-0.81866667,-2.57525,-1.74791667,-1.06125,-0.45958333,-0.48983333,-0.77966667,-0.46075,-0.86041667,-0.35058333,-0.26891667
"CFHR5_GeneExp","num","Molecular","Gene Expression Microarray",0.3822,0.23466667,0.01266667,0.1842,0.04466667,1.4305,0.487,0.3595,2.092,1.27416667,1.246,0.50216667,-0.0132,0.071,0.285,0.24975,0.2275,-0.15816667,0.45033333,0.29883333,-0.26566667,0.192,0.0536,0.1745,0.12983333,0.35866667,-0.01883333,-0.1115,0.85816667,-0.329,0.1056,0.19766667,-0.34183333,0.74283333,0.75366667,0.806,0.6105,0.4052,-0.1632,0.1158,0.8782,-0.06383333,-0.083,0.714,0.27533333,0.76016667,0.3475,0.6195,-0.06733333,0.13216667,0.29133333,0.0665,0.39866667,0.31316667,0.009,0.3415,0.5462,0.16033333,0.25866667,1.15066667,0.1364,1.1275,0.84783333,0.95183333,0.6346,0.18366667,0.7648,0.243,-0.029,0.09283333,0.8054,0.1125,0.40583333,0.37583333,-0.23066667,0.851,0.05316667,0.51016667,1.2864,-0.86683333,0.8924,0.6016,0.6504,0.37266667,0.5954,0.17766667,0.5485,0.29583333,0.281,0.213,1.12083333
"SLC10A7_GeneExp","num","Molecular","Gene Expression Microarray",-0.68275,-1.57425,0.288125,-0.266625,-0.075875,-0.199875,-0.390125,-1.0405,-1.096625,-0.397375,-1.303,0.260625,-0.63875,-0.285625,-0.537875,-0.888625,-0.38175,-1.17625,0.286875,-0.672875,0.2625,0.124125,-0.580625,0.052375,-0.74625,-0.664125,-0.07725,0.2585,-0.03775,-0.10425,-0.5095,-0.37225,-0.50775,1.531875,-0.359,-0.10825,-0.857625,-0.384125,-0.58175,-0.82225,-0.16275,-0.1945,-0.1545,0.10175,0.05025,-0.375375,-0.375625,-0.409875,0.097625,0.084,0.01375,-0.5455,-0.0835,-0.546,0.2415,0.07675,-0.4265,-0.511125,-0.047125,-0.331,-0.10775,0.3034286,-0.769875,0.756375,0.22925,-0.33575,-0.455625,0.15225,-0.182875,0.71375,-0.7785,0.209625,-0.24275,0.038125,0.032625,-0.34675,0.6125,-0.267,-0.28525,-0.273125,-0.141,0.135375,-0.209125,-0.158,-0.15225,-0.202,-0.245125,-0.756125,-0.33875,0.00925,-0.159375
"OR2K2_GeneExp","num","Molecular","Gene Expression Microarray",0.0045,0.2715,-0.3785,0.4345,-0.212,-0.991,-0.3385,0.822,0.4155,0.135,-0.2065,0.74,-0.272,0.0035,0.25,-0.6995,-0.791,0.272,0.1335,0.0455,0.6765,-0.406,0.205,0.1565,-0.144,0.3155,0.377,0.593,0.457,-0.228,0.14,-0.0335,0.4285,0.3625,-0.393,-0.481,-0.575,-0.0375,-0.266,-0.1825,0.022,-0.1915,0.455,0.1385,-0.3105,-0.6825,-0.128,-0.0055,0.113,-0.635,0.4595,0.0545,0.6075,-0.4065,0.5235,0.2585,-0.021,1.045,0.703,-1.6125,-0.2975,-0.102,-0.091,-0.501,1.379,0.118,-0.215,-0.126,-0.103,-0.663,0.0095,0.186,-0.042,-0.029,-0.121,0.1505,0.423,-0.694,-0.795,0.041,-0.588,0.121,-1.8535,0.2095,-0.7205,-1.323,-0.007,0.285,-1.0595,-0.639,-0.442
