"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994"
"BCAS3_GeneExp","num","Molecular","Gene Expression Microarray",-1.4435,-0.6194167,-1.7588333,-1.6303333,-1.92275,-1.79025,-1.9525833,-2.1668333,-0.8985833,-2.01775,-1.7141667,-0.73225,-1.876,-1.94,-2.02375,-1.7751667,-1.5308333,-1.141,-1.5940833,-1.3810833,-1.2525833,-2.1688333,-1.7411667,-1.76775,-1.743,-2.2355833,-1.8816667,-2.171,-2.6335,-1.7545,-1.1295833,-2.2658333,-1.6299167,-1.3164167,-1.5099167,-1.558,-1.9904167,-2.5249167,-1.4613333,-1.96875,-2.001,-1.91,-1.5616667,-0.86675,-2.0233333,-1.673,-1.5438333,-1.9235,-0.91475,-2.0146667,-1.5220833,-1.8525833,-2.192,-1.9291667,-2.1095833,-1.1895833,-2.2465,-2.5456667,-1.557,-1.8280833,-1.6486667,-1.6514167,-2.1926667,-1.64125,-1.3916667,-1.2629167,-1.99675,-1.8188333,-1.49025,-1.5135,-2.2621667,-1.9528333,-1.89225,-2.0209167,-1.951,-2.2025,-1.83075,-2.1751818,-1.8545833,-1.5793333,-1.5905833,-2.268,-2.0254167,-0.68925,-1.3649167,-1.672,-1.5611667,0.2371667,-2.0673333,-1.0505833,-1.5983333
"FLJ20184_GeneExp","num","Molecular","Gene Expression Microarray",0.1995,0.341,-0.1595,0.2145,0.5185,0.1705,0.3865,-0.1425,-0.08,-0.332,-0.3235,0.069,0.135,0.038,0.1555,-0.1725,0.2635,-0.654,0.1065,-0.0245,-0.2775,0.42,-0.115,-0.0405,-0.0075,-0.269,0.5395,0.0505,-0.103,0.121,0.778,-0.138,-0.033,-0.1115,-0.173,0.2165,0.2875,-0.4215,0.28,-0.318,0.0125,-0.238,0.2125,0.5375,0.176,-0.298,0.0495,0.3515,0.109,0.194,0.1715,0.162,0.082,0.4145,0.113,0.079,0.192,-0.176,-0.0045,0.322,0.62,-0.1135,-0.1125,0.491,-0.507,0.2275,0.12,0.0085,0.2865,0.2925,0.068,0.2475,-0.045,0.327,0.1865,-0.061,-0.108,0.058,0.124,0.3875,0.1975,0.346,0.256,0.161,-0.2495,0.5645,0.26,-0.104,-0.5415,-2.116,-0.16
"POLA2_GeneExp","num","Molecular","Gene Expression Microarray",-1.434,-0.444166667,-1.097166667,-0.850666667,-1.213,-0.754166667,-0.799166667,-1.021666667,-1.197833333,-1.932833333,-0.9135,-0.860833333,-0.254166667,-1.246,-1.638,-2.312,-0.953,-1.0505,-1.054,-0.925333333,-1.05,-0.655166667,-0.982,-0.575166667,-0.5385,-2.1465,-1.282166667,-1.015,-0.537833333,-1.222333333,-0.766333333,-1.7215,-1.554,-0.008333333,-0.856833333,-1.438833333,-1.070833333,-1.292666667,-1.442666667,-0.584166667,-0.8775,-2.054833333,-1.806833333,-1.674166667,-0.655166667,-1.546666667,-1.099666667,-1.3575,-1.2445,-1.6575,-2.1045,-1.995166667,-1.471833333,-1.292,-1.719333333,-1.547333333,-1.453833333,-1.145833333,-1.2075,-1.852,-1.498666667,-2.087333333,-1.099333333,-1.035666667,-1.397833333,-1.612666667,-0.563333333,-1.414666667,-1.386833333,-0.541833333,-1.6365,-1.005833333,-1.010833333,-1.0915,-1.1135,-1.612,-1.088,-0.798666667,-1.0845,-1.503666667,-1.087333333,-1.595666667,-1.439,-1.068,-0.637,-1.374333333,-1.4035,-1.316333333,-0.899833333,-1.4425,-1.1895
"TMC7_GeneExp","num","Molecular","Gene Expression Microarray",-1.92433333,-0.53883333,-0.49666667,-1.35733333,-1.75016667,-1.53716667,-1.80383333,-1.049,-0.85816667,0.7415,-1.18933333,-1.64633333,-0.29216667,-1.809,-1.038,-0.856,-1.65833333,-1.41116667,-1.177,-0.28183333,-1.3535,-1.72733333,-0.33533333,-0.813,-0.837,-1.4495,-0.5845,-1.5295,-1.63316667,-1.08483333,-1.23283333,-0.3925,-1.11383333,-0.28983333,-1.0095,-1.44883333,-0.2125,-1.16066667,-1.45966667,-1.347,-0.63483333,-1.315,-1.25983333,-0.89333333,-0.5785,-0.74066667,-0.8445,-0.47383333,-0.25116667,-0.90566667,-1.35083333,-1.17366667,-0.83966667,-1.48183333,-1.47183333,-0.80766667,-1.4255,-0.88916667,-0.78816667,-0.9405,-1.63283333,-1.57583333,0.02933333,0.18033333,-0.96966667,-1.1235,-2.43483333,-1.33616667,0.13583333,-1.06616667,-1.64033333,-0.20933333,-0.98016667,-1.8755,-1.65083333,-1.96233333,-1.71033333,-1.29266667,-0.32316667,-1.30183333,0.14583333,-1.14733333,-0.88933333,-1.16433333,-1.1215,-1.7385,-1.31616667,-1.75533333,-0.626,-0.63833333,-0.18816667
"HSD17B6_GeneExp","num","Molecular","Gene Expression Microarray",-1.8235,-0.7455,0.237,0.1415,1.366,-0.388,-0.5065,0.024,-0.937,-2.8635,0.2965,0.805,0.974,-1.9745,-1.058,-0.438,1.5995,1.84,-0.5455,0.0335,-1.9095,-1.8975,-0.9035,0.5835,-0.8215,-2.327,-0.6945,0.171,0.4945,-0.458,0.2,-2.12,-1.8385,-0.0885,0.6575,-0.4595,-0.016,-0.876,-0.7,0.3815,-1.203,0.6745,0.569,-0.548,1.755,-2.2415,-0.373,-0.8515,-0.114,1.854,1.1225,0.8085,2.2505,-0.4775,3.099,0.2645,-1.628,-1.0415,-2.5715,-0.6325,2.984,-1.259,0.3345,0.5335,-2.345,2.9075,-0.5445,0.803,0.1115,0.796,-2.451,-0.2885,0.429,2.0985,0.7675,1.7855,-1.0775,-0.0405,1.6285,1.837,0.511,-1.0465,0.61,-1.825,0.3945,0.667,1.7105,0.547,0.69,-1.166,-0.653
"ZNF658B_GeneExp","num","Molecular","Gene Expression Microarray",0.547833333,1.494666667,0.839666667,1.677333333,1.020166667,1.773,0.006333333,-0.169833333,-0.292,1.027166667,0.93,0.672666667,0.454833333,0.491333333,0.703166667,0.0715,0.031833333,1.399166667,0.621,0.350333333,1.3585,0.385,1.016,1.116166667,0.925166667,-0.188,0.7445,0.056833333,0.087166667,0.469333333,1.239333333,0.392333333,0.2915,0.2235,0.247666667,0.815333333,-0.609666667,1.5925,1.508166667,0.2165,0.2025,0.137,1.1095,1.1235,0.445333333,0.869666667,0.211166667,0.179666667,0.2275,0.740666667,1.529833333,0.966833333,-0.7215,0.886333333,-0.071,0.514833333,1.5615,0.462666667,0.863166667,0.156333333,1.080333333,0.1905,0.176666667,1.251666667,1.388333333,0.522333333,1.632,1.602666667,0.295,1.958833333,1.086333333,0.275,1.567,0.746833333,0.754166667,1.703166667,1.209166667,0.786,1.159333333,0.3065,0.784666667,1.738,2.219333333,-0.389833333,0.466333333,-0.253166667,0.172833333,0.640833333,0.5065,0.2715,0.484166667
"TTTY10_GeneExp","num","Molecular","Gene Expression Microarray",-0.435,0.1315,0.206333333,0.190833333,0.022666667,-0.183333333,-0.187833333,-0.212166667,0.0975,-0.0965,-0.504666667,-0.7855,-0.284333333,-0.155333333,0.050166667,-0.178333333,-0.0505,0.133833333,-0.195833333,0.099,0.044166667,0.153166667,0.020666667,0.035333333,0.024666667,0.003333333,-0.228833333,-0.1885,-0.101,-0.0425,-0.311,0.330166667,0.056833333,-0.089166667,-0.017,-0.072166667,0.052666667,-0.647,-0.108833333,-0.108833333,-0.127166667,-0.150833333,-0.055,-0.094,0.036666667,0.1375,-0.187,-0.219833333,0.090833333,-0.0865,0.064666667,0.002,-0.498,0.098833333,0.052166667,-0.532166667,-0.669333333,-0.164333333,-0.2355,0.1115,-0.2332,-0.748,0.0595,-0.026833333,-0.476666667,0.017333333,-0.2454,0.083666667,0.011,0.2775,-0.019333333,-0.105333333,-0.047666667,-0.479666667,-0.023666667,-0.065,-0.069666667,-0.0476,0.065666667,0.119833333,0.283166667,0.443,-0.268833333,0.207833333,-0.125666667,-0.0955,0.031166667,-0.369,-0.554666667,-0.9866,-0.495833333
"RANBP9_GeneExp","num","Molecular","Gene Expression Microarray",-0.86458333,-0.02375,-0.45433333,-0.06716667,0.29341667,0.19166667,1.15216667,0.63991667,0.299,-0.49658333,-0.07183333,0.16333333,1.00216667,-0.88883333,-0.76516667,0.70683333,0.29283333,-0.35783333,-0.21008333,-0.57591667,0.42541667,1.02558333,0.58158333,-0.35083333,-0.25466667,-0.54066667,0.13708333,-0.21708333,1.82966667,0.07925,-0.46966667,-0.66925,-0.2335,-0.80883333,-0.25258333,-0.36491667,0.25108333,0.43616667,0.02008333,0.20316667,-0.936,0.38725,0.29166667,0.36141667,0.08733333,-0.05741667,0.22925,0.408,-0.43066667,-0.01283333,-0.10883333,-0.70475,-0.08041667,-0.7305,-0.2715,0.8655,-0.19233333,-0.61116667,-0.60133333,0.06091667,0.01491667,-0.288,0.44391667,0.33475,0.52458333,0.51908333,-0.82925,-0.2755,-0.92066667,-0.38091667,0.85133333,0.15916667,-0.08458333,-0.17608333,0.19741667,-0.486,-0.46808333,0.16533333,0.0805,0.63091667,0.14616667,-0.57408333,-0.84391667,1.01291667,-0.06225,-0.60666667,0.337,1.35325,-0.04583333,0.6345,-0.24833333
"CPNE7_GeneExp","num","Molecular","Gene Expression Microarray",1.235,-2.517,-3.2386667,-1.6196667,-2.2961667,-1.8481667,-2.4783333,-2.9438333,-2.6186667,-2.9348333,-2.6698333,-3.5648333,-3.1556667,-2.5341667,-2.0116667,-3.3368333,-2.2923333,-1.7698333,-1.8563333,-2.185,-2.4748333,-2.6853333,-2.5525,-2.0306667,-1.9763333,-2.0208333,-3.2616667,-3.3873333,-2.181,-2.4351667,-0.6793333,-2.807,-2.7521667,-2.8156667,-2.6113333,-2.4738333,-2.2088333,-2.8871667,-1.5703333,-2.6795,-2.5986667,-2.1123333,-2.4936667,-2.7093333,-2.4221667,-3.0281667,-2.1533333,-2.5505,-1.4455,-2.4143333,-1.9016667,-2.8868333,-2.0923333,-1.518,-2.285,-2.3833333,-1.3916667,-2.2128333,-2.3116667,-2.3255,-2.6166667,-1.1463333,-2.8726667,-2.4138333,-2.2785,-2.8268333,-2.5891667,-2.8245,-2.864,-2.9638333,-1.7288333,-3.1116667,-2.6875,-2.5866667,-2.8981667,-1.8553333,-2.3463333,-1.5268333,-1.798,-0.7931667,-0.8423333,-2.2603333,-2.9125,-2.3018333,-2.6605,-2.1278333,-2.1726667,-3.0465,-3.1125,-3.1055,-2.2266667
"EVL_GeneExp","num","Molecular","Gene Expression Microarray",-0.4297647,-0.7469412,-0.6930588,-1.4671765,-1.3450588,-1.144,-0.7745882,-0.9338235,-1.3404118,-1.8223529,-0.5252941,-1.2160588,-0.7856471,-1.8954706,-0.6358235,-0.8161765,-1.0318235,-0.6871765,-0.9971176,-1.1561176,-0.8569412,-0.7487647,-0.8128235,-0.9421765,-1.5154118,-1.2599412,-1.0955882,-0.1759412,-0.7479412,-1.1980588,-1.0532941,-1.3141765,-1.8298235,-1.3663529,-1.1315294,-1.391,-1.7166471,-0.6462353,-1.1065882,-1.0260588,-0.1133529,-0.4518235,-0.7700588,-1.0755294,-1.361,-1.934,-1.2640588,-1.0328235,-1.7581765,-0.7098824,-0.9514118,-0.8998824,-1.0664706,-0.8612353,-0.6864706,-1.9308824,-1.406,-1.3511765,-1.2228235,-0.9836471,-1.1178824,-1.1516471,-0.8384118,-1.5222941,-1.8222353,-0.7027647,-0.9519412,-0.6808824,-1.1147059,-1.547,-2.1271176,-1.0177647,-0.1257059,-0.9748824,-1.6785294,-0.8877059,-0.7038235,-0.9708667,-1.241,-0.4158824,-0.8604706,-1.9007059,-1.2978235,-1.5604118,-1.9549412,-2.9567647,-1.1972353,-1.3924706,-1.3468235,-1.2508235,-1.1598824
