"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000132","ACH-000291","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000574","ACH-000617","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000704","ACH-000713","ACH-000719","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001063","ACH-001151","ACH-001374","ACH-001418","ACH-001630","ACH-002140","ACH-002149","ACH-002181","ACH-002182"
"GEMCITABINE (GDSC1:135)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,-4.257686,NA,-4.576218,-2.454516,NA,NA,NA,NA,NA,NA,-7.147225,NA,-6.942756,-2.490358,NA,NA,-5.358101,NA,NA,NA,NA,NA,-6.854727,NA,NA,NA,NA,NA,NA
"MITOMYCIN-C (GDSC1:136)_IC50","num","Drug Screen","GDSC1_IC50",1.0042092,-3.3754976,NA,0.1239402,NA,-0.9218337,-2.4087306,2.0214103,0.6618616,3.0671863,3.40733,0.7695312,NA,-1.8790203,NA,-1.6421389,-2.6320793,-1.8357018,2.1082667,-1.386092,0.9486187,1.0516846,NA,NA,0.3641979,-3.3750869,NA,NA,NA,-1.6805375,NA,NA
"PLX 4720 (GDSC1:1371)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.852201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAMETINIB (GDSC1:1372)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,-5.723139,NA,-5.301856,NA,NA,NA,NA,-3.406389,-2.924748,NA,NA,NA,-0.450675,NA,-2.960857,NA,NA,NA,NA,NA,-7.94144,NA,NA,-1.408238,-6.39031,NA,-3.866882,-3.033132
"DABRAFENIB (GDSC1:1373)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.8951087,NA,NA,NA,NA,NA,NA,-0.3734481,NA,NA,NA
"AFATINIB (GDSC1:1377)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.004866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.540562,NA
"BLEOMYCIN (50 UM) (GDSC1:1378)_IC50","num","Drug Screen","GDSC1_IC50",3.5141787,1.6365381,2.9506152,4.512809,2.487983,NA,1.8207323,NA,NA,NA,NA,NA,NA,3.3817215,3.8841857,-0.7167383,NA,NA,3.7318619,4.8863458,0.240048,0.3082128,5.3729521,2.9725673,1.6411115,NA,NA,1.577771,-0.8980892,-1.87645,NA,NA
"EXELBINE (GDSC1:140)_IC50","num","Drug Screen","GDSC1_IC50",-7.800048,-8.931496,NA,-5.990929,NA,-4.528822,NA,NA,-7.96668,NA,NA,-8.911229,-6.819225,NA,NA,-6.186066,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.963387,NA,NA,NA,-6.050208,NA,NA
"SN38 (GDSC1:1494)_IC50","num","Drug Screen","GDSC1_IC50",NA,-7.733552,-7.281927,-6.687966,-6.96875,-4.314137,-8.474493,NA,NA,NA,NA,NA,-4.777549,NA,-4.101512,-7.36353,-6.485677,NA,NA,-3.555568,-7.071405,-6.955568,-6.148931,-7.257873,NA,-8.878162,-4.191209,-7.532755,-7.731939,-7.079991,NA,-4.60612
"ARRY-886 (GDSC1:1498)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,-1.5442945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.611389,NA,NA,-1.1091089,NA,NA,NA,0.9949088,NA,NA,NA
"944328-88-5 (GDSC1:151)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,2.3252925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6628709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080622-86-1 (GDSC1:152)_IC50","num","Drug Screen","GDSC1_IC50",NA,1.4515418,NA,NA,3.9064093,3.7793798,NA,NA,NA,NA,NA,NA,2.214112,NA,2.8734914,3.3834693,NA,2.9838044,NA,2.7446437,2.6434263,NA,NA,NA,NA,0.8512154,NA,2.6236922,NA,1.3001696,NA,NA
"BAY 869766 (GDSC1:1526)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,1.1432738,-1.4488535,1.4776146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7859669,NA,NA,2.0471399,1.1615502,NA,NA,1.5565071
"PICTILISIB (GDSC1:1527)_IC50","num","Drug Screen","GDSC1_IC50",0.7538562,NA,NA,NA,0.7602504,NA,NA,NA,NA,NA,NA,NA,NA,0.3188977,1.3576654,NA,-0.9268943,NA,-0.3806167,NA,NA,NA,0.6196942,NA,0.5837334,NA,NA,NA,NA,NA,-0.387399,NA
"PEVONEDISTAT (GDSC1:1529)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9352122,NA,NA,NA,NA,NA,NA,NA,-0.6689964,NA,NA,NA,NA,NA,NA,NA
"BENZOYLSTAUROSPORINE (GDSC1:153)_IC50","num","Drug Screen","GDSC1_IC50",NA,-2.721698,NA,NA,NA,NA,NA,NA,-1.305714,NA,NA,NA,NA,-2.039661,NA,NA,NA,NA,NA,NA,-1.894956,NA,NA,NA,NA,-2.303024,NA,NA,NA,-2.785214,NA,NA
"LADUVIGLUSIB (GDSC1:154)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,1.313445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP-24534 (GDSC1:155)_IC50","num","Drug Screen","GDSC1_IC50",NA,-1.777329,NA,NA,NA,NA,NA,NA,-1.091975,NA,NA,NA,NA,-1.231867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK-55409 (GDSC1:156)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,-0.5591967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JNK INHIBITOR 9L (GDSC1:157)_IC50","num","Drug Screen","GDSC1_IC50",-0.619332561,-1.315998504,NA,1.051315191,NA,-0.212139311,-1.204338413,NA,-0.911762441,0.758282108,0.196700893,-0.001078314,-0.836738379,-1.82452329,NA,-1.216245923,-0.381354627,0.577213096,-0.436355098,1.612276204,0.011531365,1.203103547,NA,NA,-2.022536683,-1.759892243,NA,NA,NA,-1.607056179,NA,NA
"PF-00562271 (GDSC1:158)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.074391,NA,NA,NA,NA,NA,NA
"HG6-64-1 (GDSC1:159)_IC50","num","Drug Screen","GDSC1_IC50",NA,-0.78641208,NA,NA,NA,NA,NA,NA,-0.30357975,NA,-1.23996813,0.42239579,1.78634794,-0.19127603,NA,0.54410287,1.5344544,NA,1.69920425,0.09923454,0.45703373,NA,NA,NA,NA,-0.17643974,NA,NA,NA,-1.00280941,NA,NA
"(+)-JQ-1 (GDSC1:163)_IC50","num","Drug Screen","GDSC1_IC50",0.9179964,-1.7708845,NA,NA,NA,NA,NA,NA,NA,0.4629602,-2.4539184,NA,NA,-4.267067,NA,0.1063848,NA,NA,NA,-2.7009019,NA,NA,NA,NA,NA,-0.4975987,NA,NA,NA,-3.6324799,NA,NA
"JQ12 (GDSC1:164)_IC50","num","Drug Screen","GDSC1_IC50",NA,0.7173209,NA,1.1548769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3453573,NA,NA,NA,NA,-1.3615864,-2.1902842,NA,NA,NA,1.8697867,NA,NA
"DIMETHYLOXALYLGLCINE (GDSC1:165)_IC50","num","Drug Screen","GDSC1_IC50",7.879144,6.183009,NA,11.016254,NA,10.197264,11.816398,10.478432,10.985462,NA,11.65158,7.664487,11.274757,9.921001,NA,10.048181,9.525177,10.302547,10.39274,10.851283,11.584729,11.833968,NA,NA,10.160645,7.438066,NA,NA,NA,6.185552,NA,NA
"AR-12 (GDSC1:167)_IC50","num","Drug Screen","GDSC1_IC50",3.3770705,0.5266422,NA,3.9389494,NA,3.271945,2.1296441,3.7940037,1.1693611,NA,3.0392025,2.7892413,0.9879185,3.819827,NA,2.2759771,3.2470786,3.7937097,2.4374629,2.4439452,3.0311793,3.7179174,NA,NA,3.1518156,1.7055133,NA,NA,NA,2.2238587,NA,NA
"ANCHUSIN (GDSC1:170)_IC50","num","Drug Screen","GDSC1_IC50",-0.792735117,-2.342130589,NA,0.754499326,NA,0.622316163,0.921328985,NA,1.205233316,0.766659277,-0.247619846,0.2818085,1.47345726,0.987568867,NA,-0.667628013,-0.079259724,-0.002854793,0.115359922,1.927651346,-1.613973979,0.938968946,NA,NA,0.156171908,-1.543062349,NA,NA,NA,0.179468563,NA,NA
"EMBELIC ACID (GDSC1:172)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.638857,NA,4.642826,NA,2.434359,4.176388,NA,3.519521,NA,4.509253,4.109032,3.969581,NA,NA,4.169671,3.847091,NA,3.668162,3.108412,NA,NA,NA,NA,NA,1.895295,NA,NA,NA,2.396552,NA,NA
"FH535 (GDSC1:173)_IC50","num","Drug Screen","GDSC1_IC50",2.9002548,1.4651791,NA,4.4543954,NA,NA,0.2008912,NA,0.9209615,3.1221127,3.9906348,2.5571633,2.2477043,2.9993013,NA,3.5091189,1.4918103,NA,NA,4.354757,NA,NA,NA,NA,NA,1.9250755,NA,NA,NA,1.9471188,NA,NA
"GTPL5238 (GDSC1:175)_IC50","num","Drug Screen","GDSC1_IC50",-0.2530025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1323274,0.930793,0.6416793,NA,0.4808226,NA,NA,NA,1.1544784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPA 3 (GDSC1:176)_IC50","num","Drug Screen","GDSC1_IC50",4.423713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.636392,3.417482,NA,NA,NA,NA,NA,4.739199,4.719702,4.333375,4.199594,NA,NA,4.068164,3.307889,NA,NA,NA,3.059559,NA,NA
"GSK 650394 (GDSC1:177)_IC50","num","Drug Screen","GDSC1_IC50",NA,0.3628712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4385693,NA,NA,NA,NA,NA,NA
"BAY-61-3606 (GDSC1:178)_IC50","num","Drug Screen","GDSC1_IC50",NA,0.37189227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03736066,0.66173644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61278415,NA,NA,NA,1.13325056,NA,NA
"FLUOROURACIL (GDSC1:179)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.028995,NA,NA,1.443797,NA,NA,NA,NA,NA,2.380528,NA,NA,NA,1.042601,NA,NA,1.932326,1.702241,NA,NA
"OCTANOIC ACID (GDSC1:180)_IC50","num","Drug Screen","GDSC1_IC50",-7.657445,-8.462359,NA,-3.612576,NA,-7.896289,-8.118903,NA,-8.706895,NA,-4.443259,-7.789735,-8.00064,-5.246449,NA,-5.546465,-5.38256,NA,NA,NA,NA,NA,NA,NA,NA,-8.807734,NA,NA,NA,-8.435294,NA,NA
"GX15-070 (GDSC1:182)_IC50","num","Drug Screen","GDSC1_IC50",0.73940622,-3.63622228,NA,-1.80794007,NA,-0.45489996,-2.37865623,NA,NA,-1.48740868,0.18768906,-0.27471128,-2.64805905,-0.89396409,NA,-3.26570476,-1.06866349,1.05485643,0.5933442,-0.36688678,NA,-2.15471503,NA,NA,0.03318455,-3.07092837,NA,NA,NA,-1.2417263,NA,NA
"BMS-754807 (GDSC1:184)_IC50","num","Drug Screen","GDSC1_IC50",NA,-2.3347325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6546696,-0.8502905,0.7482521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9504986,NA,NA,NA,-0.3371996,NA,NA
"BEXAROTENE (GDSC1:186)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.970688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLEOMYCIN (GDSC1:190)_IC50","num","Drug Screen","GDSC1_IC50",5.970613916,-0.962000538,NA,4.150588766,NA,1.634303974,2.101815473,NA,3.935064947,NA,NA,4.669876317,-1.494187089,-0.016835874,NA,NA,-0.607698061,NA,NA,-0.009740535,NA,1.832971077,NA,NA,4.377334775,1.264343719,NA,NA,NA,NA,NA,NA
"AUY (GDSC1:194)_IC50","num","Drug Screen","GDSC1_IC50",NA,-6.310845,NA,NA,NA,NA,NA,NA,-5.746922,-3.902108,NA,-5.576572,-7.143809,-5.859263,NA,-5.545378,-4.454308,-4.037618,NA,-6.792005,NA,-3.767268,NA,NA,-5.776706,-5.422519,NA,NA,NA,-6.787892,NA,NA
"DBI (GDSC1:196)_IC50","num","Drug Screen","GDSC1_IC50",NA,10.960302,NA,10.277725,NA,10.503879,11.426779,NA,11.831133,11.431132,11.433845,11.380688,7.645553,11.592211,NA,11.08826,11.63358,9.367273,10.827638,11.418042,11.770268,9.18815,NA,NA,11.733336,9.135844,NA,NA,NA,7.366541,NA,NA
"PAZOPANIB (GDSC1:199)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.946881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.880621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.409742,NA,NA
"DACINOSTAT (GDSC1:200)_IC50","num","Drug Screen","GDSC1_IC50",-4.0207852,-5.0047111,NA,-3.2917723,NA,-3.785359,-2.8483139,-0.2501731,-4.2398391,-2.7719749,-5.0164575,-3.973515,-4.1323515,-4.0597725,NA,-5.3020247,-4.833618,NA,-2.3975406,-4.7054491,-0.2325929,-2.362213,NA,NA,-5.8055796,-5.683572,NA,NA,NA,-4.0067465,NA,NA
"EPO906 (GDSC1:201)_IC50","num","Drug Screen","GDSC1_IC50",-7.092047,-10.346088,NA,-6.553964,NA,NA,NA,NA,-6.502783,NA,-4.97189,-7.901545,-9.757193,-6.167039,NA,-9.424887,-9.606389,NA,NA,-6.206911,NA,NA,NA,NA,-7.463086,-10.039609,NA,NA,NA,-10.364919,NA,NA
"BMS-345541 (GDSC1:203)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.04356,3.685682,NA,NA,3.705131,NA,NA,NA,3.849659,NA,NA,1.241147,3.617223,3.231933,3.285928,NA,3.997418,3.968225,3.215861,3.041681,2.395069,3.900838,NA,2.982608,2.043981,NA,3.999372,NA,3.869489,NA,NA
"TIPIFARNIB (GDSC1:204)_IC50","num","Drug Screen","GDSC1_IC50",3.6579499,-0.628878,NA,NA,NA,3.556213,3.7050226,NA,2.8521455,3.8858542,3.0936164,2.3623996,-0.4626102,2.6892397,NA,3.3600297,1.7045735,NA,NA,2.2122892,NA,NA,NA,NA,3.8364043,0.7389924,NA,NA,NA,1.9833618,NA,NA
"AS601245 (GDSC1:207)_IC50","num","Drug Screen","GDSC1_IC50",2.9549766,1.5810835,NA,NA,NA,NA,1.5580635,NA,2.2342256,2.7767975,2.9043468,2.2231121,NA,1.380569,NA,2.7041032,2.6205292,NA,NA,2.5024622,NA,NA,NA,NA,2.4845934,0.4692286,NA,NA,NA,1.8786325,NA,NA
"ISPINESIB (GDSC1:208)_IC50","num","Drug Screen","GDSC1_IC50",NA,-8.327468,NA,-3.147346,NA,NA,NA,NA,NA,NA,NA,NA,-6.984503,NA,NA,-4.586278,NA,-4.551074,NA,-6.133125,-5.661789,NA,NA,NA,NA,-6.790551,NA,NA,NA,-6.454898,NA,NA
"AT-7519 (GDSC1:219)_IC50","num","Drug Screen","GDSC1_IC50",NA,-1.28397448,NA,NA,NA,NA,NA,NA,NA,-0.38401364,NA,NA,-1.43537446,3.11263604,-0.19403883,0.74744707,NA,NA,2.64482718,-1.22861624,-1.62349259,-0.04837142,NA,NA,NA,-2.33765692,NA,NA,NA,1.61291471,NA,NA
"KIN001-201 (GDSC1:221)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.99367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.249132,NA,NA,NA,NA,NA,NA
"BX-912 (GDSC1:222)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6495499,NA,NA,NA,NA,NA,NA,NA,3.1684125,NA,NA,NA,NA,0.348204,NA,NA,NA,1.9010344,NA,NA
"KIN001-167 (GDSC1:223)_IC50","num","Drug Screen","GDSC1_IC50",NA,-1.25195285,1.50487919,NA,NA,NA,NA,NA,NA,1.91092027,-0.19805819,NA,0.06064164,NA,1.53784622,2.02697195,NA,NA,1.63212868,1.1279481,2.24730687,NA,NA,NA,NA,-1.52689481,NA,NA,NA,-1.15570927,NA,NA
"AS-605240 (GDSC1:224)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.753545,NA,4.189244,4.310004,3.26552,NA,NA,3.049225,NA,3.981586,NA,1.658049,NA,NA,NA,2.44955,4.215416,NA,NA,NA,NA,NA,NA,NA,1.599432,NA,NA,NA,3.912613,NA,NA
"GENENTECH CPD 10 (GDSC1:225)_IC50","num","Drug Screen","GDSC1_IC50",NA,-1.857657,1.517637,3.015671,NA,NA,3.162152,NA,NA,NA,3.103749,2.265168,1.476268,3.072578,1.660402,NA,NA,3.15836,3.278696,1.544214,1.357576,NA,NA,NA,NA,-0.123916,NA,NA,2.991791,2.817172,NA,NA
"GSK-1070916 (GDSC1:226)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8751215,NA,NA,NA,NA,-5.5452056,NA,NA,NA,NA,NA,NA,NA,0.3024716,NA,NA,NA,NA,NA,NA
"AKT INHIBITOR VIII (GDSC1:228)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.0463,2.821141,NA,NA,2.431885,3.204801,NA,NA,NA,NA,NA,3.156242,NA,NA,NA,NA,NA,3.295565,2.392586,2.803979,NA,3.085848,NA,NA,2.078326,NA,NA,NA,NA,NA,NA
"ENZASTAURIN (GDSC1:229)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.6908505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3897335,NA,0.8172152,NA,NA,NA,NA,1.1244908,2.0106104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
