"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000132","ACH-000291","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000574","ACH-000617","ACH-000657","ACH-000663","ACH-000688","ACH-000696","ACH-000704","ACH-000713","ACH-000719","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001063","ACH-001151","ACH-001374","ACH-001418","ACH-001630","ACH-002140","ACH-002149","ACH-002181","ACH-002182"
"QL-XII-47 (GDSC1:235)_IC50","num","Drug Screen","GDSC1_IC50",NA,-0.6083467,0.474826,3.2891778,2.1311688,3.1300857,2.9635335,3.3529381,NA,2.2146753,3.0395216,3.0294697,-0.9958208,1.862603,0.5237199,0.662519,2.5251355,3.1559131,NA,1.0200754,-1.5673842,1.1119191,2.5771412,NA,2.0238989,-1.7641606,NA,3.1273345,1.5950756,-0.1489827,NA,2.014175
"UNC 0683 (GDSC1:245)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.760841,5.009359,4.117015,NA,4.998895,4.739445,4.980168,5.12667,2.990848,NA,4.649621,3.60109,3.963329,4.47685,3.074078,5.183664,4.052624,3.797767,3.170568,NA,2.490492,5.124863,5.103458,4.366189,3.160238,NA,NA,3.647141,3.135864,NA,4.02706
"CABOZANTINIB (GDSC1:249)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.011359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.791349,NA,NA,NA,1.790955,NA,NA
"WZ3105 (GDSC1:252)_IC50","num","Drug Screen","GDSC1_IC50",NA,-2.1185334,NA,0.331585,NA,NA,NA,NA,NA,-0.4041622,NA,NA,-2.7541944,NA,NA,0.1065427,NA,NA,-0.5311152,-1.1761377,NA,0.3453331,NA,NA,-1.8083805,-1.8390348,NA,NA,-1.0604436,NA,NA,NA
"JW-7-24-1 (GDSC1:256)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,3.075522,2.840492,NA,2.512262,3.272989,3.33033,3.162421,2.45773,2.785238,3.003017,NA,NA,2.769041,2.735591,2.627424,3.024497,2.342087,NA,NA,3.073371,NA,NA,2.9219,1.049668,NA,NA,2.416702,1.752107,NA,3.152631
"NPK76-II-72-1 (GDSC1:257)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.601152,NA,1.606136,NA,NA,NA,NA,NA,NA,3.157809,NA,2.275642,NA,NA,1.317444,NA,NA,NA,2.600808,NA,2.652474,NA,NA,NA,2.054556,NA,NA,NA,3.22999,NA,NA
"NG-25 (GDSC1:260)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.7531617,NA,3.1446701,NA,NA,NA,NA,NA,NA,NA,NA,2.4327598,3.3384635,NA,3.0687391,NA,3.3264934,2.8761617,3.2070827,NA,0.9655479,NA,NA,NA,2.8226496,NA,3.2018257,3.1643866,3.1390215,3.3376488,NA
"TL-1-85 (GDSC1:261)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6119013,NA,NA,NA,NA,NA,NA,NA,NA,0.5624215,NA,NA,NA,2.7471046,NA,NA,NA,3.3029682,NA,NA
"VX-11E (GDSC1:262)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6695105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACY-1215 (GDSC1:264)_IC50","num","Drug Screen","GDSC1_IC50",2.7242604,2.1841874,NA,2.6235534,NA,2.531718,3.5474897,NA,2.6717637,3.4384496,1.3094326,NA,2.6098542,NA,3.9582875,3.2875083,NA,NA,2.5520256,3.4774227,NA,3.0217821,3.1047246,3.5586748,2.9812255,-0.7861759,4.0053785,2.5302056,-0.7581552,3.4856376,3.2345529,3.1690515
"TUBASTATIN A (GDSC1:265)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09716,NA,NA,NA,NA,NA,3.651434,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.645977,NA,NA,NA,NA,2.330583,NA
"SEPANTRONIUM BROMIDE (GDSC1:268)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,-4.61036729,NA,-4.92523541,NA,-4.72909198,NA,NA,NA,NA,NA,0.01288159,-5.60767225,NA,-3.6544001,-4.46102094,NA,NA,NA,NA,1.86575081,1.9399518,-5.5416306,NA,-4.28577327,NA,NA,NA,-3.88910699,NA
"NSC-207895 (GDSC1:269)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,4.1755012,NA,-0.2769724,NA,NA,3.8551459,NA,NA,4.3163864,NA,NA,NA,3.4468357,NA,4.3024265,NA,NA,NA,NA,NA,NA,NA,NA,3.2898065,NA,3.7345258,3.4856414,NA,3.9755199,4.0300932
"AR 42 (GDSC1:272)_IC50","num","Drug Screen","GDSC1_IC50",NA,-1.01665688,0.05054451,-1.58254878,1.32193792,-0.34592535,-0.50335873,0.72147122,-0.26704826,0.19647667,NA,NA,-1.10462155,0.77012451,-0.25568443,-2.57098626,0.58488391,1.9878284,-0.01817525,-0.94202377,1.86223783,-2.41263681,NA,NA,-1.23820528,-4.57676307,1.00645414,-0.91779376,-1.24111632,-1.31153274,-2.11523901,0.71672819
"CUDC 101 (GDSC1:273)_IC50","num","Drug Screen","GDSC1_IC50",NA,-1.076568725,0.330431565,-2.950201509,-0.006562537,0.391394047,-0.64949073,-0.581808254,0.01451945,-0.52446915,NA,0.514564643,-1.078463785,1.420512947,0.565758429,-1.855926704,0.899008674,1.217901467,-2.109524785,-0.838725979,1.487361243,-0.723364728,NA,NA,-0.634015171,-3.118146683,-0.224680578,-2.401442786,-1.499329922,-0.927350403,-0.456495925,-0.051539521
"BELINOSTAT (GDSC1:274)_IC50","num","Drug Screen","GDSC1_IC50",NA,-0.61187947,0.29907684,-1.4907614,1.22384435,1.51730593,-0.10764061,0.545714,0.385411,1.07114778,4.13266993,NA,-0.66499882,1.36284676,0.1669404,-1.70163776,1.0908292,2.64867732,0.05969091,-0.83098407,2.47910178,-0.85126616,NA,NA,-0.37745973,NA,1.22805305,-0.68188553,-0.55826844,-0.61169202,0.16406977,0.81141725
"GSK525762A (GDSC1:275)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4186935,NA,NA,NA,0.4633686,NA,NA
"CAY10603 (GDSC1:276)_IC50","num","Drug Screen","GDSC1_IC50",NA,0.38957703,1.41286895,-0.19811453,2.33784284,2.04714864,1.06446761,1.53490812,1.87263932,1.8540383,0.89290214,NA,0.28039852,2.36040763,1.41094576,-0.80366013,2.1483119,3.01815758,1.65751055,0.16793777,2.86550678,-0.55905102,NA,NA,0.66212456,-2.4986321,2.66552461,0.67587533,-0.08560232,0.04076714,1.64869796,1.92658123
"BIX 02189 (GDSC1:279)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.222958,NA,NA,NA,NA,NA,NA,NA,NA,4.254899,NA,NA,NA,4.275354,NA,NA,NA,4.125382,NA,NA
"ALECENSA (GDSC1:281)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,2.299276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.287989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EKB 569 (GDSC1:282)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253529,NA,NA,NA,NA,NA,NA,NA,0.3122883,NA,NA,NA,NA,-1.0860264,NA,NA,NA,NA,NA,NA
"EX-8678 (GDSC1:283)_IC50","num","Drug Screen","GDSC1_IC50",NA,-5.529494,NA,-3.615775,NA,NA,NA,NA,NA,NA,-6.467745,NA,-8.234338,-3.087147,-3.908266,-4.782001,-5.07163,NA,-3.183252,-5.846156,NA,NA,-3.07642,NA,NA,-8.125969,NA,NA,NA,-6.785585,NA,NA
"KIN001-244 (GDSC1:287)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,4.304339,NA,NA,NA,3.88495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.308154,NA,3.788106,4.222369,4.297667,NA,3.704858,NA,4.069053,4.314453,4.258484,4.193109,NA
"KIN001-042 (GDSC1:289)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5307436,NA,NA,NA
"ACHP (GDSC1:290)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.270251,NA,NA,4.011884,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.267821,NA,NA,NA,NA,NA,NA
"KIN001-266 (GDSC1:291)_IC50","num","Drug Screen","GDSC1_IC50",NA,4.236183,4.073953,3.092664,3.749791,NA,4.053271,4.301378,NA,4.175164,NA,4.272039,3.916506,4.214211,4.032699,4.112916,NA,NA,3.639533,4.250462,NA,3.993106,NA,NA,NA,3.874806,4.250961,4.074267,4.105742,4.081081,NA,4.184114
"AB1010 (GDSC1:292)_IC50","num","Drug Screen","GDSC1_IC50",NA,4.188869,4.053685,4.232359,NA,4.132171,4.188425,NA,NA,NA,NA,NA,4.078639,4.114623,4.259303,4.127418,NA,NA,NA,4.267873,4.237364,4.234246,NA,NA,NA,4.030872,NA,NA,4.078511,3.974785,NA,NA
"AMUVATINIB (GDSC1:293)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.7634781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9314884,NA,NA,NA,NA,3.8877637,NA,NA,NA,NA,NA,NA,-0.5588722,3.9795035,NA,NA
"MPS-1-IN-1 (GDSC1:294)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.456713,NA,NA,3.52389,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.280356,NA,NA,3.992115,NA,NA,NA
"BHG712 (GDSC1:295)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,2.750026,NA,NA,NA,NA,NA,NA,NA,NA,2.890417,NA,3.127725,NA,NA,NA,2.723233,NA,NA,NA,NA,NA,NA,3.175812,NA,NA,NA,NA,NA,NA
"OSI 930 OSI930 (GDSC1:298)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.272634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.635992,NA,NA,NA,NA,NA,NA
"A-1065-5 (GDSC1:299)_IC50","num","Drug Screen","GDSC1_IC50",NA,-3.36056,3.89067,4.30714,3.594749,NA,NA,NA,NA,3.463893,4.186754,NA,-2.272435,4.319503,NA,NA,NA,NA,-1.380054,NA,NA,3.257259,NA,NA,NA,NA,NA,NA,2.507078,NA,NA,NA
"284461-73-0 (GDSC1:30)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.084793,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.330644,NA,NA,NA,NA,NA,NA,NA,1.909268,NA,NA
"CX 5461 (GDSC1:300)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6876714,NA,NA,0.341063,NA,NA,NA,NA,NA,1.048028,1.3912093,NA,NA,-1.3526659,NA,NA,NA,0.3567928,NA,NA
"PHA 793887 (GDSC1:301)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.66955933,3.28726779,NA,NA,NA,NA,NA,NA,3.26476953,NA,NA,-1.41648934,NA,3.27546798,3.23995597,NA,-0.39661826,NA,NA,NA,NA,NA,NA,NA,-3.32306649,NA,NA,0.07666598,NA,NA,NA
"PI 103 (GDSC1:302)_IC50","num","Drug Screen","GDSC1_IC50",NA,-2.15084,1.0774109,2.0545181,NA,NA,NA,NA,NA,-2.5882815,1.4844517,NA,-3.4918868,1.8960932,1.6797737,-0.5032637,NA,NA,-0.711254,-1.3778109,NA,NA,NA,NA,NA,-2.8054578,NA,NA,NA,-3.6213014,NA,NA
"PIK 93 (GDSC1:303)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.9167675,4.1463114,NA,NA,NA,NA,4.212315,NA,NA,NA,NA,0.5490387,NA,2.9973765,4.1815062,NA,3.5837809,NA,NA,NA,NA,NA,NA,NA,2.2702805,NA,NA,3.9780239,3.87457,NA,NA
"SB 52334 (GDSC1:304)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.109258,NA,NA,2.844825,NA,NA,NA,NA,NA,NA,NA,3.019841,NA,NA,NA,NA,NA,2.646802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TPCA-1 (GDSC1:305)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.9842528,NA,NA,NA,NA,NA,3.3229666,NA,NA,NA,NA,1.5313455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1073932,NA,NA,NA,3.482949,NA,NA
"FEDRATINIB (GDSC1:306)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.195794,NA,NA,NA,NA,NA,3.335664,2.939549,3.153696,1.944337,NA,1.120426,2.779887,3.218718,3.065165,3.049128,3.238758,3.156805,NA,3.283647,3.296905,NA,NA,NA,1.001531,NA,NA,NA,2.015542,NA,NA
"EXEL-2880 (GDSC1:308)_IC50","num","Drug Screen","GDSC1_IC50",NA,-0.07598569,1.393685,-0.34996609,0.44151805,1.23603216,1.78854252,1.14771565,0.85415275,0.9141478,0.33456784,1.30899911,-2.21998043,0.37704096,-0.49584284,-0.11273663,0.38184813,-0.22435619,0.41154015,0.14102945,1.18137419,0.04485282,2.09543248,0.77087716,0.81286691,-1.96321451,0.71552564,0.31342296,0.18318876,-2.20584568,1.24848762,0.4757085
"Y-39983 (GDSC1:309)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.943814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.268801,NA,NA,NA,NA,NA,NA
"YM 201636 (GDSC1:310)_IC50","num","Drug Screen","GDSC1_IC50",NA,1.717223,2.250469,NA,NA,NA,NA,2.154664,NA,NA,NA,NA,2.098002,NA,2.077531,2.139852,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25025,NA,NA,NA,2.056903,2.345632,NA
"WYE-125132 (GDSC1:317)_IC50","num","Drug Screen","GDSC1_IC50",NA,-3.744261,NA,NA,NA,NA,-0.9835027,NA,NA,NA,NA,NA,-2.402401,NA,NA,NA,NA,NA,1.4664882,1.1674222,NA,-0.8248901,NA,NA,NA,0.3411794,-3.2751404,NA,-2.6371237,NA,NA,-1.9430268
"SNX 2112 (GDSC1:328)_IC50","num","Drug Screen","GDSC1_IC50",NA,-3.162954,NA,NA,-1.137767,-2.353751,NA,NA,NA,NA,NA,NA,-5.091714,NA,-1.91148,-4.755153,NA,-3.55633,NA,-3.000535,NA,-2.734098,NA,NA,NA,-4.653008,NA,NA,-3.78685,-4.902576,-3.540559,NA
"QL-XI-92 (GDSC1:329)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.115457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.930731,NA,NA,NA,NA,NA,NA
"XMD13-2 (GDSC1:330)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.125825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.212942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.051137,NA,NA,NA,3.324311,NA,NA
"QL-X-138 (GDSC1:331)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,3.2653466,3.2043257,NA,NA,NA,NA,3.3560788,NA,2.3652884,NA,NA,NA,3.1093302,NA,NA,2.2428142,0.6165648,NA,NA,3.2940513,NA,NA,NA,-1.9719436,NA,NA,0.9088524,-0.1950976,NA,NA
"T0901317 (GDSC1:333)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.689907,NA,NA,NA,NA,3.354359,NA,NA,NA,NA,NA,NA
"TENOVIN-6 (GDSC1:342)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.493031,4.073358,3.284618,3.885847,3.38558,2.615669,NA,3.864117,3.165634,3.760667,3.935008,2.528839,3.936787,4.085072,4.04745,4.273778,3.668549,2.79261,3.364667,4.129502,2.761836,3.381783,3.781708,3.96272,2.48807,3.984912,3.088876,1.47085,1.702758,4.105379,2.723926
"THZ-2-49 (GDSC1:344)_IC50","num","Drug Screen","GDSC1_IC50",NA,-0.2688979,2.6872041,1.74902534,NA,1.61415609,3.5593768,3.55228455,3.95575897,3.42858811,3.78186693,4.05814063,-0.98980835,3.01962879,NA,-0.03243568,3.43529084,1.40661974,0.53384372,1.73257261,1.58523372,2.57946552,NA,NA,0.98714106,-0.18683406,NA,NA,NA,4.01479224,NA,NA
"CDK9 INHIBITOR (GDSC1:345)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.163249,NA,NA,NA,NA,NA,NA
"THZ-2-102-1 (GDSC1:346)_IC50","num","Drug Screen","GDSC1_IC50",NA,-5.6254161,-3.47959204,-2.78282078,-4.18712942,NA,NA,NA,NA,-3.34618035,-3.39490533,NA,-5.89655423,-2.09269769,NA,-5.19901439,-0.21972022,-3.1024507,NA,-4.44742254,NA,-2.87846788,NA,NA,-3.89215168,-4.84349292,-2.70933399,NA,-4.27699548,-5.81427636,0.02673392,NA
"NVP-TAE 684 (GDSC1:35)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72435846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09270522,NA,NA
"AT7867 (GDSC1:356)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.864819,NA,NA,NA,NA,NA,NA,4.311038,NA,4.181762,NA,NA,NA,2.064556,NA,NA,2.024369,2.829109,NA,4.167954
"CI-1033 (GDSC1:362)_IC50","num","Drug Screen","GDSC1_IC50",NA,1.794263,NA,2.682992,3.466257,NA,3.400465,4.114081,4.042826,2.92243,NA,4.036058,3.491008,NA,NA,NA,NA,2.3665,3.247892,NA,4.163524,4.081793,4.02363,3.39783,NA,1.890219,2.996649,3.682165,NA,2.229078,NA,NA
"PF-00299804 (GDSC1:363)_IC50","num","Drug Screen","GDSC1_IC50",3.462905,2.886835,4.092096,2.882536,3.726938,3.919038,3.235355,NA,3.171963,4.214364,3.376549,3.611681,2.63528,3.955531,3.984738,NA,4.259475,2.835842,2.520795,3.384987,3.820728,3.022319,4.104087,3.723584,4.155837,2.497399,2.521733,3.134051,2.19982,2.302541,3.376207,3.49212
"TWS119 (GDSC1:366)_IC50","num","Drug Screen","GDSC1_IC50",NA,1.555888,NA,NA,2.192211,NA,4.073586,NA,NA,2.868629,3.416374,NA,2.66415,NA,NA,NA,NA,2.692562,3.352771,2.722896,3.331615,NA,NA,2.669442,NA,0.974446,2.501641,NA,2.935583,3.074727,NA,2.675001
"TORIN 2 (GDSC1:371)_IC50","num","Drug Screen","GDSC1_IC50",2.6682782,NA,3.6174469,0.4058574,1.3291733,-0.5369414,-2.042029,NA,1.1994642,1.6141866,1.6926452,NA,-3.1519525,1.9978214,3.0517323,1.4971457,-0.2239114,-1.8285262,NA,0.7723865,4.1045524,NA,NA,2.9561958,NA,NA,NA,NA,-3.082087,NA,2.5049756,-1.3486496
"PILARALISIB (GDSC1:372)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.909014,NA,NA,NA,NA,4.063504,NA,NA,NA,NA,NA,4.176885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.420585,4.157143,NA,NA,NA,NA,NA
"GSK1059615 (GDSC1:374)_IC50","num","Drug Screen","GDSC1_IC50",3.3053682,-0.5331278,2.5104222,1.5804125,1.3921502,1.0561999,0.6970254,NA,1.6148741,2.3261443,1.1767874,NA,0.067344,3.6708037,1.14368,3.0893122,-0.5375757,0.115626,-0.2755778,0.9684455,3.2506218,1.9623222,0.9023686,-0.7962755,4.0338495,-1.4025042,-1.0307486,1.3284989,0.4604068,-0.3319712,1.4039956,0.7393369
"SAR245409 (GDSC1:375)_IC50","num","Drug Screen","GDSC1_IC50",NA,4.112243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.301648,NA,NA,NA,NA,NA,NA
"BIBF-1120 (GDSC1:380)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.375536,NA,NA,NA,NA,4.070154,NA,NA,NA,2.453567,4.264347,2.508452,NA,NA,3.974048,NA,NA,NA,3.870368,NA,NA,3.572726,3.760979,4.303435,2.288733,NA,NA,NA,1.280497,NA,NA
"AST-1306 (GDSC1:381)_IC50","num","Drug Screen","GDSC1_IC50",4.1280323,1.5662784,3.175475,2.4530419,2.3816331,NA,2.8640091,NA,2.2254649,3.7212696,2.4097453,2.6083084,2.9373246,NA,2.9401177,2.8923103,NA,2.0964532,2.9130726,3.6259131,NA,2.7516403,3.6022763,2.8466563,3.3221672,1.7372888,0.9921727,2.3890856,2.5103556,1.7001956,2.7875137,2.4945502
"APITOLISIB (GDSC1:382)_IC50","num","Drug Screen","GDSC1_IC50",NA,-0.8527556,NA,1.41448187,2.44882304,1.44058655,0.40372078,NA,2.18218654,NA,2.54859972,0.30679266,-0.29753873,NA,2.38743677,3.59431554,-0.01860941,2.90382825,0.96479226,1.0318916,3.29411837,1.16187955,-0.34565813,NA,NA,-0.86166235,-1.2785959,0.38773771,-0.51430706,-2.98597185,0.49557198,1.16755931
"KB NB 142-70 (GDSC1:407)_IC50","num","Drug Screen","GDSC1_IC50",NA,2.215251,NA,NA,3.598914,NA,2.73142,NA,NA,NA,NA,NA,1.905459,NA,NA,NA,4.163976,2.701084,3.710189,NA,4.319631,3.558922,3.717289,NA,NA,2.394967,NA,2.551281,2.001011,2.647202,NA,NA
"NSC 83265 (GDSC1:41)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.174233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6572368,NA,NA
"CPI-613 (GDSC1:415)_IC50","num","Drug Screen","GDSC1_IC50",7.442921,6.431333,7.790661,6.799191,7.754009,NA,7.173977,7.58246,7.199773,7.726475,7.303417,NA,NA,NA,7.877454,7.023467,6.666473,7.126939,7.842346,NA,7.924303,7.966946,7.127181,NA,NA,6.569197,7.52037,NA,7.780129,7.649239,7.78154,7.834332
"CAY10566 (GDSC1:416)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9728992,NA,NA,NA
"ALISERTIB (GDSC1:431)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6121845,NA,NA,NA,NA,NA,NA,NA,-0.2914038,NA,NA,NA,NA,NA,NA,NA,-0.4222212,NA,NA,NA,NA,NA,NA
"FLAVOPIRIDOL (GDSC1:432)_IC50","num","Drug Screen","GDSC1_IC50",-2.5910134,-3.2284359,NA,NA,-2.4470248,NA,NA,NA,-2.155751,-1.343873,-0.4202882,-0.5381919,-2.5130093,NA,-1.9372902,-2.7042387,NA,-1.929324,-1.2289543,NA,NA,-1.4900244,0.4428883,NA,NA,-3.3960611,-2.0859431,NA,-4.1045672,-2.9182586,NA,NA
"C-75 (GDSC1:435)_IC50","num","Drug Screen","GDSC1_IC50",NA,4.300656,NA,NA,NA,NA,NA,NA,NA,4.169567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21188,3.94778,NA,NA,NA,NA,NA
"CAP-232, TT-232, TLN-232 (GDSC1:436)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,4.321723,NA,NA,3.468993,NA,4.133638,4.088246,NA,NA,3.671941,NA,NA,4.203803,NA,4.072136,NA,4.03572,NA,NA,4.226489,4.073767,NA,NA,4.289733,3.552481,NA,NA
"TRICHOSTATIN A (GDSC1:437)_IC50","num","Drug Screen","GDSC1_IC50",-3.0146132,-3.2511684,NA,NA,-0.1941631,-2.4982114,-1.7779147,NA,-2.4721014,-2.1092986,-3.6388668,-0.5928594,-3.0676227,-0.8866152,-0.5832722,-2.7025358,-0.652468,NA,-1.3465578,-1.4683235,-1.5557565,-1.8429784,NA,-0.6698673,-0.5151973,-4.7369319,-1.2531215,NA,-3.0427797,-1.6332538,-1.7281907,-1.9417691
"FARYDAK (GDSC1:438)_IC50","num","Drug Screen","GDSC1_IC50",-5.061285,-2.905229,NA,NA,-1.657761,-3.857025,-3.326876,NA,-4.838543,-3.536362,-4.892846,-2.006261,-4.217872,-3.49829,-3.383313,-4.60754,-1.001275,NA,-2.155661,-4.263921,-2.641029,-4.36212,NA,-2.829691,-4.886034,NA,-3.001291,NA,-4.883096,-3.067522,-4.213987,-3.784441
"LCL161 (GDSC1:439)_IC50","num","Drug Screen","GDSC1_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.914486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IMD-0354 (GDSC1:442)_IC50","num","Drug Screen","GDSC1_IC50",NA,-0.89230904,2.35680983,0.93568204,0.61307845,1.5797671,-0.29483912,NA,2.92618104,0.08689991,1.04691047,NA,-0.13043616,1.95842333,2.44817603,2.85680984,0.88391156,-0.19201174,0.21978561,NA,2.18907586,0.01137271,-0.20036916,0.61938935,NA,-1.61675477,-0.08968298,NA,-0.26390124,0.50334601,3.4879701,-0.47469553
"MIM 1 (GDSC1:446)_IC50","num","Drug Screen","GDSC1_IC50",NA,3.624244,NA,5.203947,4.392161,5.32162,NA,4.583559,3.528706,5.11321,NA,4.029257,NA,4.317859,NA,4.699683,5.229885,NA,NA,NA,5.258502,4.596198,5.145453,5.044379,NA,3.533863,NA,NA,4.279275,3.578504,NA,NA
"CD532 (GDSC1:449)_IC50","num","Drug Screen","GDSC1_IC50",0.82672484,-0.81719513,NA,NA,1.64328012,-0.05845862,-0.6425104,1.67186636,1.54475063,0.88397368,0.62164398,1.15191968,0.32045943,NA,2.17546067,0.50784063,2.00096288,0.8753334,-0.10686201,1.35976082,2.22369853,0.68957594,-0.23975378,1.09081144,0.46047012,-0.23154981,0.01952606,0.04410587,0.11444656,0.50320354,NA,0.43562381
