"Feature","Data_Type","Category","Sub_Category","ACH-000091","ACH-000608","ACH-000796","ACH-000701","ACH-000237","ACH-000688","ACH-000542","ACH-000713","ACH-000696","ACH-000116","ACH-000617","ACH-000278","ACH-000574","ACH-000409","ACH-000524","ACH-000256","ACH-000291","ACH-000460","ACH-000430","ACH-000811","ACH-000048","ACH-000947","ACH-000123","ACH-000324","ACH-000719","ACH-000906","ACH-000646","ACH-000663","ACH-000885"
"ENSG00000261183.1","num","Molecular","LncRNA Expression",-0.05619647,0.44562287,0.95756808,0.99948448,-0.92042781,-0.97553139,-0.78502372,0.81721879,-0.68070369,0.87844499,0.99807157,0.3596707,-1.66526806,0.27513146,-0.05078031,-0.14379703,1.08896892,0.73032469,-1.2458686,0.52215562,-1.23880404,-0.63972924,-0.83447565,-1.2797785,0.84853835,-3.43235034,0.47011335,-0.87733399,0.08933349
"ENSG00000261798.1","num","Molecular","LncRNA Expression",-0.027767,-0.02068703,0.40057093,0.83405792,-0.08569399,-0.27492217,0.57821371,0.37707831,0.37740013,0.70951489,0.44401617,0.13700311,-0.2466023,0.76647643,-0.88025924,0.34843664,-0.62312775,0.04496356,0.30660047,-0.27266945,0.48263417,0.25221347,0.11672867,0.38995098,0.11125778,-3.92046089,0.64322066,-3.92046089,0.4076509
"ENSG00000261824.2","num","Molecular","LncRNA Expression",0.459233689,-0.827138559,-3.512256895,-2.216401622,-0.277123149,0.250607154,0.20603694,-0.196043291,0.016850605,0.103620277,1.025370241,0.187070891,1.171408815,0.46729426,0.520873347,-0.14104175,0.035816653,1.169986362,-3.425487222,-0.007331107,0.130172745,0.398542334,0.037713258,0.683033063,0.721439312,0.234486013,-0.127291365,-0.424584177,0.114525755
"ENSG00000264885.1","num","Molecular","LncRNA Expression",0.61379251,-1.69588558,0.23375888,-0.55683741,0.7664376,-0.13680023,-0.82844039,-1.10846517,0.26639335,0.791703,-0.88212935,-0.55789013,0.33797863,-0.86212758,0.45377835,-0.36418878,-0.24733633,0.70116867,-0.05784587,0.35587495,2.30657391,1.12541674,1.27700911,-0.51157024,-1.38848996,0.91592452,-3.47499041,-1.27269023,0.63589973
"ENSG00000266126.1","num","Molecular","LncRNA Expression",0.2622854,-1.7555312,-1.7555312,0.6350348,0.6866872,-1.7555312,0.210278,0.4110301,0.1566731,-1.7555312,-1.7555312,0.5203699,0.8558444,0.3558277,0.788217,-1.7555312,0.5326174,0.5219674,0.7042596,0.3677202,0.7543145,0.1091031,-1.7555312,0.2189755,-1.7555312,-1.7555312,0.46073,0.6845572,0.471735
"ENSG00000266999.1","num","Molecular","LncRNA Expression",-2.23040851,-0.95494114,-1.54895921,1.25226886,-1.23394962,-0.41363896,-1.5768172,0.21552304,-0.75007776,1.35727206,0.40924322,-0.07248572,1.09797845,0.14437802,-0.0124839,0.5202466,0.74739636,0.28795381,-1.93768532,1.16783772,1.19526713,1.15369444,0.40367162,-0.8537952,0.12166304,-1.7808234,-1.00079967,0.3848139,0.35524157
"ENSG00000267498.1","num","Molecular","LncRNA Expression",-1.96568281,-1.96568281,-1.96568281,0.50366167,0.18634202,-1.96568281,-0.32140725,0.47491758,-1.96568281,0.58573362,0.55377473,0.40835231,1.19730201,0.79091349,0.59707997,1.00914167,-0.92314214,0.06871816,0.17877778,0.47510668,-1.96568281,0.28940472,0.39398027,0.40835231,0.62790423,0.27957121,-1.96568281,-0.01732501,0.63452294
"ENSG00000267575.2","num","Molecular","LncRNA Expression",0.600561053,-0.916830307,-3.378073664,-2.119953523,0.089351537,0.483234279,0.013927182,-0.053640469,-0.009642929,0.317719723,0.803264007,0.032783271,1.499367948,0.956207837,0.670747606,-0.136921527,-0.188251991,1.176719319,-3.49959068,0.353860559,0.07416191,0.475377575,0.319814844,0.628845186,0.063686305,0.241247807,-0.415048836,-0.538137193,0.232867323
"ENSG00000270137.1","num","Molecular","LncRNA Expression",0.718371327,-2.070699421,0.26662336,0.413602565,0.465783301,-2.070699421,-2.070699421,0.558502856,0.587399758,0.573886819,0.422541894,0.163509235,0.535634805,0.526487584,0.786767591,-2.070699421,0.417136718,0.415057805,0.371608506,0.243963199,0.45351771,0.230658151,0.012580094,0.448528317,-2.070699421,-2.070699421,-0.002180194,0.333356492,0.225252975
"ENSG00000272172.1","num","Molecular","LncRNA Expression",-0.247262118,-1.788138912,-1.469573417,1.21813916,-0.086509068,-1.500939866,0.084045997,-0.337440658,0.237937636,0.554542728,0.300670534,1.226960973,-0.220796676,-0.500154111,0.310472549,-1.351949234,0.139917484,-0.599154464,-1.419583139,-1.24608747,0.233036629,1.168148882,0.306551743,0.002689271,0.144818492,0.485928622,-0.903997138,-1.380375078,-0.464866856
"ENSG00000272635.1","num","Molecular","LncRNA Expression",0.38500417,-0.42644091,-5.12531206,-1.48540124,0.07609993,0.42255596,0.10516174,-0.04831077,0.21291904,0.27398151,0.5623139,0.28312455,1.0250172,0.67137735,0.49929221,-0.02937161,-0.13288392,0.75464435,-2.05586183,0.23806241,0.31479866,0.45684237,0.32296209,0.56264044,0.24165432,0.23838894,-0.36178654,-0.26513151,0.27757341
