"Feature","Data_Type","Category","Sub_Category","TCGA-23-1021","TCGA-23-1022","TCGA-23-1023","TCGA-23-1024","TCGA-23-1026","TCGA-23-1027","TCGA-23-1028","TCGA-23-1029","TCGA-23-1030","TCGA-23-1031","TCGA-23-1032","TCGA-23-1107","TCGA-23-1109","TCGA-23-1110","TCGA-23-1111","TCGA-23-1113","TCGA-23-1114","TCGA-23-1116","TCGA-23-1117","TCGA-23-1118","TCGA-23-1119","TCGA-23-1120","TCGA-23-1121","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2072","TCGA-23-2077","TCGA-23-2078","TCGA-23-2079","TCGA-23-2081","TCGA-23-2084","TCGA-23-2641","TCGA-23-2643","TCGA-23-2645","TCGA-23-2647","TCGA-23-2649","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1325","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-1877","TCGA-25-1878","TCGA-25-2042","TCGA-25-2390","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2408","TCGA-25-2409","TCGA-42-2582","TCGA-42-2587","TCGA-42-2588","TCGA-42-2589","TCGA-42-2590","TCGA-42-2591","TCGA-42-2593","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1586","TCGA-57-1992","TCGA-57-1993","TCGA-57-1994"
"TFCP2","num","Molecular","Microarray Gene Expression"," 0.797750"," 0.950500","-0.792750"," 0.636125"," 0.622500"," 0.578375"," 1.292375"," 1.102000"," 0.951000"," 1.496750"," 0.980000"," 0.502000"," 0.057875"," 0.733125"," 0.808875"," 0.805000"," 0.528250"," 0.621375","-0.299875"," 1.091375"," 1.059125","-0.078250","-0.654000"," 0.655750"," 0.289250"," 0.142750"," 0.208750"," 0.805875"," 0.470625"," 0.313750"," 0.889000"," 0.407750"," 0.222625"," 1.442625"," 1.224625"," 0.290625"," 0.727250"," 1.269500"," 0.589625"," 0.024750"," 1.174250"," 0.846875"," 1.095750"," 0.834625"," 0.512875"," 0.435000"," 1.304750"," 0.388500"," 1.270625"," 1.217250"," 1.171250"," 1.098125"," 0.276500"," 0.226750"," 0.687375","-0.166500"," 1.032125"," 1.813500"," 0.775625"," 0.732625"," 0.861750"," 1.229750"," 0.876875"," 0.623625"," 1.178250"," 0.659500"," 0.668500","-0.189750"," 0.826875"," 0.708750"," 1.030750","-0.664250"," 0.920625"," 0.057000"," 0.953625"," 0.705875"," 0.350375"," 0.675875"," 0.417625"," 0.440625"," 0.543750"," 0.405375","-0.297125"," 0.926875"," 0.580750"," 0.781125"," 0.209875"," 0.330500"," 0.088125"," 0.333375"," 1.498375"," 1.375000"," 0.959250"," 1.342750"
"NLRP12","num","Molecular","Microarray Gene Expression","-0.2175000","-0.3836250","-0.7288750","-0.1931250","-0.0657500"," 0.2598750","-0.3227500"," 0.3117500","-0.3992500","-0.1697500","-0.6562500","-0.1412500","-0.5457500","-0.7992500","-0.7540000","-0.0102500","-0.7856250"," 0.4922500","-0.2288750","-0.7801250","-0.1411250","-0.2085000","-0.5180000","-0.1958750","-0.3515000","-0.0883750","-0.5180000","-0.2161250","-0.9162500","-0.2632500","-0.1041250"," 0.0307500"," 0.3912500","-0.6517500","-0.7263750","-0.0632500","-0.0913750","-0.1987500","-0.1268750","-0.1986250","-0.5040000","-0.2901250","-0.1718750"," 0.1798750"," 0.0875000"," 0.0782500","-0.1971250","-0.2633750","-0.3881250","-0.0806250","-0.0211250","-0.0122500"," 0.2681250"," 0.0118750"," 0.0178750","-0.3661250"," 0.6305000","-0.2763750"," 0.6383750","-0.4613750","-0.8082500","-1.0768571"," 0.4935000","-1.5171250","-1.3521250","-1.2947500","-0.6590000"," 0.4281250","-0.4655000"," 0.1767500","-0.5393750"," 0.0471250","-0.4301250"," 0.1328750","-0.2236250"," 0.0715000"," 0.5316250","-0.1396250","-0.0027500","-0.4466250","-0.4527143","-0.2391250"," 0.4111250","-0.0132500","-0.2356250","-0.4760000"," 0.0247500","-0.4997500","-0.5701250"," 0.0001250","-0.9883750","-0.4983750","-0.0917500","-0.7048750"
"FLJ45422","num","Molecular","Microarray Gene Expression","-0.86075","-0.62625"," 0.16175","-0.59550","-0.54625","-0.30125"," 0.27575","-0.27075"," 0.71900"," 0.50050","-0.81200","-0.54300"," 0.39425"," 0.01100","-0.02150","-1.06225"," 0.25325","-0.34275"," 0.60200","-0.25000","-0.14425"," 0.85075"," 0.15675","-0.23275","-0.90525","-0.51975","-0.54800"," 0.37050","-0.26500"," 1.80600","-0.08100","-0.43975","-0.01925"," 0.49950"," 0.06275"," 0.07425"," 0.58200","-1.04875","-0.76800","-0.31800","-0.73925","-0.61950"," 0.59175","-0.29300","-1.03350","-1.20800","-1.03200","-1.54275","-0.09075","-0.12600","-0.19125","-0.47425","-0.55300","-1.80950","-0.43550","-0.11100","-0.03825","-0.72200","-0.53375"," 0.13875","-0.00050"," 1.27025","-1.09775"," 0.61925"," 1.69250"," 1.33950","-0.08250","-0.32625"," 0.78975","-0.16725"," 0.06375"," 1.00525","-0.30900"," 0.75875","-0.73025"," 0.50475","-0.36000"," 0.13275"," 0.02100"," 0.18525","-0.65875","-0.25675"," 0.20725"," 0.39975","-0.40275","-0.01575"," 0.81125","-0.01775","-0.54775"," 0.48500"," 0.33825","-0.21175","-0.12725","-0.37750"
"TLE4","num","Molecular","Microarray Gene Expression","-1.4649","-1.4723"," 0.2496"," 0.6488"," 0.6478","-0.8693","-1.6022","-0.2537"," 1.2250"," 1.5894","-2.3197"," 1.5198"," 0.7386","-2.3457"," 1.3574","-1.5979","-0.7362"," 0.4914","-0.1430","-1.2539","-0.8879"," 1.5836"," 0.1442"," 0.3293","-1.0777"," 0.5030","-1.2791"," 0.6088","-0.3646","-0.0076","-1.2876","-0.5791","-0.6405","-1.0986"," 1.0372","-0.7466","-1.6775","-0.8740","-0.0516"," 0.7115","-1.5286","-2.6643","-0.4857","-0.4876","-0.7657"," 0.2336","-1.1043"," 0.0695"," 0.3943","-0.8815","-1.9252","-0.1549"," 0.6865"," 1.8409"," 0.8850"," 0.8539"," 0.6100","-0.8943"," 0.8723"," 1.4374","-1.5471","-0.6880"," 0.8747"," 0.1202","-1.2412"," 0.8395","-0.2999"," 0.6454","-0.3412"," 0.2286","-0.6956"," 0.2146","-1.3582","-0.3839","-0.6038","-1.5017","-0.4893"," 1.1869","-0.6288","-0.4007","-0.8467","-0.8194","-0.1467","-0.3380","-0.4152","-1.3764"," 0.2328","-1.3750","-1.7287"," 0.7416"," 0.5260","-1.6575"," 0.7508","-1.6748"
"ZNF570","num","Molecular","Microarray Gene Expression"," 0.1195"," 0.8960"," 0.2835"," 1.4055","-0.0355"," 0.4820"," 0.1305","-0.0110"," 0.7385"," 0.2900"," 2.4460"," 0.7335"," 0.2980"," 1.1190"," 0.0880"," 0.3350"," 0.3525"," 2.2440","-1.2185"," 0.1435"," 0.0620","-0.1545"," 0.3450"," 0.3265"," 0.4530"," 0.2440"," 0.4085"," 0.1770","-0.3850","-0.6135"," 0.0170"," 0.1830","-0.0145","-0.4635"," 0.3940","-0.2155","-0.0860"," 0.6695"," 0.0215"," 0.4075"," 1.2380"," 0.4670"," 0.2955"," 0.4325"," 1.7230","-0.2455"," 0.1420"," 0.8210"," 1.0150"," 0.2030"," 0.5205"," 0.5160"," 0.7350"," 0.2430"," 0.7400"," 0.2735"," 0.1180"," 2.0945"," 0.9565"," 0.6425","-0.0875"," 1.1910"," 0.8665"," 0.3170"," 0.7655"," 1.0725"," 0.6785"," 0.5560","-0.2485"," 0.5635"," 0.5425"," 0.2110"," 0.5115"," 0.6630","-0.8675"," 0.3535"," 1.0020","-0.5715"," 0.0280","-0.2560"," 0.0525"," 0.7135"," 0.5155"," 0.4915"," 0.4715"," 0.4940"," 1.4695","-0.0870","-0.6450"," 0.5785"," 0.1895"," 0.9295"," 1.3715"," 0.5155"
"FLJ43806","num","Molecular","Microarray Gene Expression","-0.2100","-0.1565","-0.5970"," 0.0435","-0.5225"," 0.1275","-0.1305","-0.7245","-0.0625","-1.4800"," 0.0280","-0.0550","-0.4905"," 0.0285"," 0.0885"," 0.0830"," 0.2045"," 0.0735","-0.2380","-0.6465"," 0.4095","-0.3580","-0.4115"," 0.0120","-0.0035"," 0.2335","-0.6965","-0.1005","-1.3520","-0.7195"," 0.0795","-1.1160"," 0.3415"," 0.1420","-0.2065"," 0.1490","-0.8080"," 0.4575"," 0.2780"," 0.0120"," 0.3770"," 0.4690","-0.0570","-0.3440"," 0.2845"," 0.0385","-0.3025"," 0.8485"," 0.1990"," 0.0475","-0.0905","-0.0380"," 0.0950"," 0.1335","-0.7140"," 0.5820","-0.4715","-0.8010","-0.1595","-0.1215","-0.6610","-1.3815","-0.4215","-1.1235","-1.0145","-0.7550","-2.4730","-0.6465","-0.4890"," 0.4315","-0.0690","-0.5340","-1.0980"," 0.3450","-0.0870","-0.4730","-0.8280","-0.5195","-0.9475","-0.3620","-0.5365"," 0.1830"," 0.1070","-0.6210","-0.7000"," 0.1895"," 0.2570","-0.6435","-0.2230","-0.6145","-0.9155","-0.5465"," 0.2775","-0.7100"
"TLK2","num","Molecular","Microarray Gene Expression","-1.453375","-0.657500","-0.465625","-1.026750","-0.586000","-0.347250","-1.286750","-0.045250","-0.477625","-0.840500","-0.439500","-0.046375"," 0.208875","-0.393000","-0.500875","-0.918750"," 0.237125","-0.304750","-0.268125"," 0.018250","-0.313500","-0.215500"," 0.411250","-0.313625","-0.341750","-0.083000","-1.232625","-0.632625"," 0.181750","-0.790250","-0.784125","-0.521625","-0.324375","-0.801500","-0.749125","-0.089250","-1.245625","-1.096500","-1.270375","-0.425125","-0.789250","-0.556250","-0.357125","-0.503875","-0.341250","-0.408875","-0.680125","-0.681375"," 0.113375"," 0.078000"," 0.057375","-0.327375","-0.399250","-0.541000","-0.109000","-1.028000","-0.075875","-0.026625","-0.704750","-0.331375","-0.064750"," 0.245500","-0.623500","-0.563500","-0.608375","-0.062750","-0.732125"," 0.251750","-0.521500","-0.169750","-0.422000","-0.716250","-0.440125","-1.368000"," 0.364000","-0.615125","-0.289500","-0.182625","-0.672250","-0.455500","-0.821750","-0.463625","-0.921250","-0.637000","-1.186125","-0.232250","-0.680375"," 0.004000","-0.310250","-0.485875"," 1.290250","-0.425625"," 0.355125","-0.327875"
"KCNJ5","num","Molecular","Microarray Gene Expression","1.38900","1.48625","1.68250","1.23950","0.99500","1.11900","1.35600","1.46225","0.81225","1.52000","1.00200","0.84900","1.11550","0.81000","1.15225","1.08825","1.69050","0.78400","1.74825","0.75275","0.95225","1.41125","0.46300","1.95675","1.62250","0.59875","1.19875","1.51400","0.52300","1.07100","1.28000","0.22700","1.34250","1.29875","0.96675","1.00400","1.06500","1.25300","2.18950","1.80850","0.88200","1.74575","1.65700","0.92100","1.01350","1.41675","1.55150","1.28175","0.87175","1.10175","0.98175","0.49000","1.00350","1.13875","0.87625","1.16800","1.31925","1.11875","1.86475","0.83925","1.24700","1.77875","0.83500","1.64650","1.29325","1.16175","1.47075","1.21200","0.83025","0.53125","1.20125","0.70975","1.16725","0.77200","0.66575","0.77500","0.60825","0.79325","1.07975","0.60400","1.08275","0.94850","1.19525","0.74800","0.40125","1.42100","1.66475","0.77550","1.60050","0.79100","1.16800","1.23175","0.75325","1.50350"
"MARS2","num","Molecular","Microarray Gene Expression"," 1.7075"," 2.4750"," 0.6880"," 0.8580"," 0.9795"," 1.3070"," 1.3595"," 0.5970"," 0.7000"," 0.1990"," 0.4280"," 0.6215","-0.1230"," 0.4310"," 0.6740"," 0.9240"," 0.9935","-0.5085","-1.4095"," 1.2925"," 0.5635"," 0.6550"," 1.0220"," 0.6520"," 0.4650"," 0.2145"," 0.6295"," 0.9295","-0.2745","-0.3925"," 0.8125"," 0.3050"," 0.1315"," 0.1385"," 1.1800"," 0.0420"," 1.2930"," 0.4490"," 0.9625"," 1.0205"," 0.7390"," 0.3045"," 1.0825"," 1.1310"," 1.0420"," 0.6130"," 0.9785"," 0.9015"," 1.2130"," 0.0660"," 1.8200"," 0.6740"," 0.7485"," 1.1505"," 0.9890"," 0.8275"," 0.2740"," 1.2995"," 1.4975"," 0.7540"," 0.4035"," 1.4875"," 0.7670"," 1.3265"," 0.1190"," 0.6025"," 1.3645"," 2.0910"," 0.1680"," 0.6215"," 1.3640"," 1.3910"," 0.6785"," 1.1760"," 1.8905"," 1.1085"," 1.4945","-0.1860"," 0.5190"," 0.3980"," 0.2355"," 0.2815"," 0.2585"," 0.6475"," 0.7255"," 1.0385"," 1.3830"," 1.4375"," 1.8345"," 0.4600"," 1.1080"," 0.1160"," 0.4655","-0.0055"
"COL24A1","num","Molecular","Microarray Gene Expression","-1.1467500","-0.4475000"," 0.6125000"," 1.8737500"," 1.0382500"," 0.2500000","-1.6402500","-0.5002500"," 0.5077500","-1.1552500"," 0.1335000"," 1.3485000","-0.3267500","-0.0572500","-1.3242500","-0.8420000","-0.0137500"," 1.5147500"," 0.2475000","-0.9827500","-0.1892500","-1.7760000","-0.8700000","-0.3100000"," 0.0815000"," 0.9180000","-0.5567500","-1.2607500"," 0.5290000","-0.6322500","-0.2732500","-1.6697500","-0.5157500","-0.3857500","-0.1345000"," 0.2450000","-1.3840000"," 0.6195000","-0.0470000"," 0.0087500"," 0.9875000","-0.1680000"," 0.1662500","-0.7502500"," 1.4167500"," 0.6980000"," 0.5507500","-0.4255000"," 1.0385000"," 1.2537500"," 0.0382500"," 0.2885000"," 0.1797500"," 0.8050000"," 1.4462500","-0.9017500"," 1.6880000","-0.3917500","-0.7632500"," 0.1562500","-0.5805000","-1.7640000"," 1.1582500","-1.5520000","-2.3610000"," 3.2547500","-1.2362500"," 3.8242500","-0.0132500","-1.8217500"," 0.0665000","-2.1902500"," 2.2947500","-1.5230000"," 3.3020000","-0.6755000"," 0.6412500","-0.4685000"," 0.5340000","-1.0225000"," 0.1686667"," 1.3887500"," 0.4137500"," 0.3892500"," 1.5352500"," 0.0782500"," 0.4355000","-0.2830000"," 0.0427500"," 0.9782500","-1.1670000"," 0.9152500"," 0.8405000"," 4.6177500"
