Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000256,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000443,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000646,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000701,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001042,ACH-001048,ACH-001063
TUBB_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,3,4,2,2,3,3,2,1,3,3,2,2,3,3,3,3,2,3,2,4,2,5,3,4,2,2,2,4,2,2,1,3
R3HCC1_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,1,1,4,2,3,2,2,1,2,2,2,2,2,3,2,4,1,2,1,4,2,2,1,2,2,2,2,3,1,2
PRSS55_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,1,3,3,1,1,4,2,3,2,2,1,2,2,2,2,2,3,2,4,1,2,1,4,2,2,1,2,2,2,2,3,1,2
C8orf74_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,1,3,3,1,1,4,2,3,2,2,1,2,2,2,2,2,3,2,4,1,2,1,4,2,2,1,2,2,2,2,3,1,2
HTRA4_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,1,1,4,2,3,2,2,2,2,2,2,2,2,3,2,4,1,4,1,4,1,2,2,2,2,3,2,3,2,3
ADAM32_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,1,3,4,2,3,2,2,2,2,2,2,2,2,3,2,4,1,4,1,4,1,2,2,2,2,3,2,3,2,3
ERICH5_CopyNum,cat,Molecular,Copy Number,4,1,3,2,2,2,3,2,1,2,4,2,3,3,2,5,4,3,3,2,3,3,2,4,2,3,2,6,2,2,2,2,2,4,2,3,2,3
LGI3_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,1,1,4,2,3,2,2,1,2,2,2,2,2,3,2,4,1,2,1,4,2,2,1,2,2,2,2,3,1,2
TMEM268_CopyNum,cat,Molecular,Copy Number,3,1,2,4,2,2,2,3,2,2,2,2,2,4,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,4
C9orf72_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,1,2,3,1,1,2,2,2,1,4,2,3,2,4,2,2,3,2,3,2,2,1,3,2,2,2,1,2,3,2,2,2,3
CCDC171_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,1,2,3,1,1,2,2,2,1,4,2,3,2,4,2,2,3,2,3,2,2,1,3,1,2,2,1,2,3,2,2,2,2
NAIF1_CopyNum,cat,Molecular,Copy Number,4,1,2,3,2,3,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,4,2,2,2,3,1,2,2,2,2,4,2,2,2,4
FAM219A_CopyNum,cat,Molecular,Copy Number,4,1,1,3,2,2,2,3,1,1,2,3,2,1,4,2,3,2,4,2,2,3,2,3,2,2,1,3,1,2,2,3,2,3,2,2,2,3
CCDC107_CopyNum,cat,Molecular,Copy Number,4,1,1,3,2,2,2,3,1,1,2,3,2,1,4,2,3,2,4,2,2,3,2,3,2,2,1,3,2,2,2,3,2,3,2,2,2,3
ANKS6_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,3,2,2,2,4
EP300_CopyNum,cat,Molecular,Copy Number,2,1,2,2,2,1,2,3,1,1,4,2,2,1,2,2,2,2,2,2,2,4,2,4,2,2,2,4,2,2,2,2,2,3,2,2,1,3
SUSD3_CopyNum,cat,Molecular,Copy Number,5,1,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,3,2,2,2,4
EPAS1_CopyNum,cat,Molecular,Copy Number,3,1,2,4,2,2,2,4,2,2,2,3,3,2,3,3,3,2,3,3,3,6,2,4,2,2,2,4,2,3,2,2,2,3,2,2,1,3
EPB41_CopyNum,cat,Molecular,Copy Number,2,1,2,3,2,1,3,5,1,2,4,4,3,2,3,4,3,2,2,2,3,4,2,3,2,3,1,3,1,2,2,2,2,3,2,2,1,5
EPB41L1_CopyNum,cat,Molecular,Copy Number,4,1,2,4,2,2,3,6,2,2,4,6,3,2,4,4,3,2,2,2,4,4,2,4,2,3,2,6,1,2,2,2,2,4,2,3,2,3
EPB41L2_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,3,4,1,2,3,2,1,1,3,3,2,2,5,3,2,3,1,3,2,2,0,4,1,2,2,2,2,3,2,2,2,5
